County,Registered Voters,Larry Walker (I) (Rep)_Election Day Votes,Larry Walker (I) (Rep)_Advanced Voting Votes,Larry Walker (I) (Rep)_Absentee by Mail Votes,Larry Walker (I) (Rep)_Provisional Votes,Larry Walker (I) (Rep)_Choice Total,Julius Newberry Johnson (Dem)_Election Day Votes,Julius Newberry Johnson (Dem)_Advanced Voting Votes,Julius Newberry Johnson (Dem)_Absentee by Mail Votes,Julius Newberry Johnson (Dem)_Provisional Votes,Julius Newberry Johnson (Dem)_Choice Total,Total,calc_participation
Bleckley,0.0,955.0,2788.0,639.0,2.0,4384.0,269.0,540.0,389.0,0.0,1198.0,5582.0,0.0
Houston,95079.0,9957.0,18867.0,7289.0,39.0,36152.0,4127.0,9623.0,7653.0,28.0,21431.0,57583.0,60.6
Laurens,32880.0,5616.0,6518.0,2458.0,3.0,14595.0,1760.0,3203.0,2526.0,3.0,7492.0,22087.0,67.2
Pulaski,5687.0,326.0,2157.0,332.0,0.0,2815.0,167.0,661.0,308.0,0.0,1136.0,3951.0,69.5
