County,Registered Voters,Gloria Frazier (I) (Dem)_Election Day Votes,Gloria Frazier (I) (Dem)_Advanced Voting Votes,Gloria Frazier (I) (Dem)_Absentee by Mail Votes,Gloria Frazier (I) (Dem)_Provisional Votes,Gloria Frazier (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Burke,16556.0,2454.0,3190.0,2090.0,0.0,7734.0,7734.0,46.7,7734.0
Richmond,23311.0,2585.0,6894.0,5000.0,19.0,14498.0,14498.0,62.2,14498.0
