County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
DeKalb,44769.0,1297.0,10166.0,6478.0,26.0,17967.0,362.0,1718.0,1319.0,5.0,3404.0,21371.0,47.7
Fulton,371482.0,19615.0,96325.0,43367.0,1163.0,160470.0,5630.0,23810.0,13107.0,383.0,42930.0,203400.0,54.8
