,Precinct,County,Registered Voters,Dean Kicklighter (I) (Rep)_Election Day Votes,Dean Kicklighter (I) (Rep)_Advanced Voting Votes,Dean Kicklighter (I) (Rep)_Absentee by Mail Votes,Dean Kicklighter (I) (Rep)_Provisional Votes,Dean Kicklighter (I) (Rep)_Choice Total,Orlando Scott (Dem)_Election Day Votes,Orlando Scott (Dem)_Advanced Voting Votes,Orlando Scott (Dem)_Absentee by Mail Votes,Orlando Scott (Dem)_Provisional Votes,Orlando Scott (Dem)_Choice Total,Total,Tony McBrayer (Rep)_Election Day Votes,Tony McBrayer (Rep)_Advanced Voting Votes,Tony McBrayer (Rep)_Absentee by Mail Votes,Tony McBrayer (Rep)_Provisional Votes,Tony McBrayer (Rep)_Choice Total,calc_participation
0,7-05C Woodlawn Baptist Church,Chatham,1305.0,124.0,126.0,38.0,0.0,288.0,46.0,78.0,41.0,0.0,165.0,453.0,,,,,,34.7
1,7-06C Pooler City Hall,Chatham,3555.0,256.0,618.0,213.0,0.0,1087.0,178.0,497.0,355.0,1.0,1031.0,2118.0,,,,,,59.6
2,7-07C Rothwell Baptist Church,Chatham,3932.0,281.0,966.0,423.0,3.0,1673.0,126.0,417.0,369.0,2.0,914.0,2587.0,,,,,,65.8
3,7-08C Bloomingdale Comm Ctr,Chatham,2733.0,523.0,656.0,228.0,0.0,1407.0,78.0,119.0,121.0,1.0,319.0,1726.0,,,,,,63.2
4,7-12C Pooler Church,Chatham,3334.0,196.0,576.0,240.0,4.0,1016.0,160.0,660.0,454.0,0.0,1274.0,2290.0,,,,,,68.7
5,7-13C Southside Fire Trng Ctr,Chatham,2513.0,237.0,736.0,416.0,1.0,1390.0,63.0,255.0,334.0,0.0,652.0,2042.0,,,,,,81.3
6,7-14C Coastal Cathedral,Chatham,7572.0,421.0,834.0,525.0,1.0,1781.0,553.0,1477.0,1132.0,5.0,3167.0,4948.0,,,,,,65.3
7,7-16C Pooler Recreation Center Gymnasium,Chatham,3701.0,232.0,869.0,428.0,7.0,1536.0,118.0,550.0,432.0,6.0,1106.0,2642.0,,,,,,71.4
17,Tifton South,Tift,2366.0,,,,,,,,,,,754.0,157.0,458.0,138.0,1.0,754.0,31.9
16,Tifton Northwest,Tift,3334.0,,,,,,,,,,,2024.0,348.0,1387.0,289.0,0.0,2024.0,60.7
15,Ty Ty,Tift,1221.0,,,,,,,,,,,752.0,287.0,378.0,86.0,1.0,752.0,61.6
14,Omega,Tift,864.0,,,,,,,,,,,493.0,288.0,162.0,42.0,1.0,493.0,57.1
13,Eldorado,Tift,1262.0,,,,,,,,,,,828.0,302.0,444.0,80.0,2.0,828.0,65.6
9,Brighton,Tift,2219.0,,,,,,,,,,,1634.0,353.0,1095.0,186.0,0.0,1634.0,73.6
11,Chula,Tift,1314.0,,,,,,,,,,,981.0,319.0,528.0,133.0,1.0,981.0,74.7
10,Brookfield,Tift,1501.0,,,,,,,,,,,969.0,330.0,555.0,84.0,0.0,969.0,64.6
18,Mott-Litman Gym,Tift,2889.0,,,,,,,,,,,805.0,179.0,465.0,160.0,1.0,805.0,27.9
8,Tifton Northeast,Tift,3332.0,,,,,,,,,,,1760.0,289.0,1169.0,290.0,12.0,1760.0,52.8
12,Docia,Tift,1056.0,,,,,,,,,,,799.0,244.0,454.0,100.0,1.0,799.0,75.7
19,Tifton Lodge,Tift,3091.0,,,,,,,,,,,1709.0,252.0,1174.0,283.0,0.0,1709.0,55.3
