County,Registered Voters,Rhonda S. Taylor (Dem)_Election Day Votes,Rhonda S. Taylor (Dem)_Advanced Voting Votes,Rhonda S. Taylor (Dem)_Absentee by Mail Votes,Rhonda S. Taylor (Dem)_Provisional Votes,Rhonda S. Taylor (Dem)_Choice Total,Total,calc_participation
DeKalb,19522.0,1474.0,7000.0,2907.0,21.0,11402.0,11402.0,58.4
Rockdale,39148.0,1764.0,9610.0,4509.0,8.0,15891.0,15891.0,40.6
