,Precinct,County,Registered Voters,Joseph Gullett (I) (Rep)_Election Day Votes,Joseph Gullett (I) (Rep)_Advanced Voting Votes,Joseph Gullett (I) (Rep)_Absentee by Mail Votes,Joseph Gullett (I) (Rep)_Provisional Votes,Joseph Gullett (I) (Rep)_Choice Total,Alison Feliciano (Dem)_Election Day Votes,Alison Feliciano (Dem)_Advanced Voting Votes,Alison Feliciano (Dem)_Absentee by Mail Votes,Alison Feliciano (Dem)_Provisional Votes,Alison Feliciano (Dem)_Choice Total,Total,calc_participation
0,Shelton Elementary,Paulding,5095.0,159.0,556.0,154.0,2.0,871.0,48.0,304.0,179.0,0.0,531.0,1402.0,27.5
1,Russom Elementary,Paulding,8243.0,413.0,1524.0,543.0,2.0,2482.0,158.0,654.0,567.0,1.0,1380.0,3862.0,46.9
2,Legacy Bapt Church,Paulding,4443.0,315.0,1091.0,463.0,2.0,1871.0,153.0,596.0,425.0,3.0,1177.0,3048.0,68.6
3,West Ridge Church,Paulding,11546.0,1032.0,3689.0,1212.0,4.0,5937.0,327.0,1245.0,923.0,1.0,2496.0,8433.0,73.0
4,Events Place,Paulding,4923.0,225.0,757.0,298.0,3.0,1283.0,254.0,1150.0,754.0,3.0,2161.0,3444.0,70.0
5,Poplar Sprgs Bapt Church,Paulding,4825.0,262.0,941.0,295.0,0.0,1498.0,245.0,991.0,561.0,1.0,1798.0,3296.0,68.3
6,Nebo Elem School,Paulding,10070.0,401.0,1217.0,301.0,2.0,1921.0,98.0,343.0,243.0,4.0,688.0,2609.0,25.9
7,White Oak Park,Paulding,5833.0,255.0,876.0,253.0,5.0,1389.0,132.0,484.0,260.0,1.0,877.0,2266.0,38.8
8,Picketts Mill Baptist Church,Paulding,2748.0,305.0,965.0,279.0,0.0,1549.0,68.0,275.0,252.0,1.0,596.0,2145.0,78.1
9,Taylor Farm Park,Paulding,2761.0,90.0,373.0,150.0,0.0,613.0,64.0,246.0,118.0,0.0,428.0,1041.0,37.7
