County,Registered Voters,Derrick L. Jackson (I) (Dem)_Election Day Votes,Derrick L. Jackson (I) (Dem)_Advanced Voting Votes,Derrick L. Jackson (I) (Dem)_Absentee by Mail Votes,Derrick L. Jackson (I) (Dem)_Provisional Votes,Derrick L. Jackson (I) (Dem)_Choice Total,Total,calc_participation
Fayette,23639.0,1273.0,6743.0,3044.0,14.0,11074.0,11074.0,46.8
Fulton,28304.0,1995.0,9582.0,4241.0,70.0,15888.0,15888.0,56.1
