County,Registered Voters,John B. Gay_Election Day Votes,John B. Gay_Advanced Voting Votes,John B. Gay_Absentee by Mail Votes,John B. Gay_Provisional Votes,John B. Gay_Choice Total,Total,Leonard D. Hill_Election Day Votes,Leonard D. Hill_Advanced Voting Votes,Leonard D. Hill_Absentee by Mail Votes,Leonard D. Hill_Provisional Votes,Leonard D. Hill_Choice Total,calc_participation
Burke,16556.0,0.0,0.0,0.0,0.0,0.0,8112.0,2605.0,3647.0,1860.0,0.0,8112.0,49.0
Jenkins,5066.0,769.0,1555.0,625.0,3.0,2952.0,2952.0,0.0,0.0,0.0,0.0,0.0,58.3
