,Precinct,County,Registered Voters,Khadijah Abdur-Rahman (Dem)_Election Day Votes,Khadijah Abdur-Rahman (Dem)_Advanced Voting Votes,Khadijah Abdur-Rahman (Dem)_Absentee by Mail Votes,Khadijah Abdur-Rahman (Dem)_Provisional Votes,Khadijah Abdur-Rahman (Dem)_Choice Total,Total,Johnny Hardin (I) (Rep)_Election Day Votes,Johnny Hardin (I) (Rep)_Advanced Voting Votes,Johnny Hardin (I) (Rep)_Absentee by Mail Votes,Johnny Hardin (I) (Rep)_Provisional Votes,Johnny Hardin (I) (Rep)_Choice Total,Eddie J. Walden (I) (Dem)_Election Day Votes,Eddie J. Walden (I) (Dem)_Advanced Voting Votes,Eddie J. Walden (I) (Dem)_Absentee by Mail Votes,Eddie J. Walden (I) (Dem)_Provisional Votes,Eddie J. Walden (I) (Dem)_Choice Total,Kirklyn L. Dixon (I) (Rep)_Election Day Votes,Kirklyn L. Dixon (I) (Rep)_Advanced Voting Votes,Kirklyn L. Dixon (I) (Rep)_Absentee by Mail Votes,Kirklyn L. Dixon (I) (Rep)_Provisional Votes,Kirklyn L. Dixon (I) (Rep)_Choice Total,Lidia Garrett (Dem)_Election Day Votes,Lidia Garrett (Dem)_Advanced Voting Votes,Lidia Garrett (Dem)_Absentee by Mail Votes,Lidia Garrett (Dem)_Provisional Votes,Lidia Garrett (Dem)_Choice Total,Allison Powell Willis (Rep)_Election Day Votes,Allison Powell Willis (Rep)_Advanced Voting Votes,Allison Powell Willis (Rep)_Absentee by Mail Votes,Allison Powell Willis (Rep)_Provisional Votes,Allison Powell Willis (Rep)_Choice Total,Michael McBride (I) (Dem)_Election Day Votes,Michael McBride (I) (Dem)_Advanced Voting Votes,Michael McBride (I) (Dem)_Absentee by Mail Votes,Michael McBride (I) (Dem)_Provisional Votes,Michael McBride (I) (Dem)_Choice Total,William C. Dyal (Rep)_Election Day Votes,William C. Dyal (Rep)_Advanced Voting Votes,William C. Dyal (Rep)_Absentee by Mail Votes,William C. Dyal (Rep)_Provisional Votes,William C. Dyal (Rep)_Choice Total,"Aaron """"Adot"""" Whitely (Dem)_Election Day Votes","Aaron """"Adot"""" Whitely (Dem)_Advanced Voting Votes","Aaron """"Adot"""" Whitely (Dem)_Absentee by Mail Votes","Aaron """"Adot"""" Whitely (Dem)_Provisional Votes","Aaron """"Adot"""" Whitely (Dem)_Choice Total",Wiley E. Grady (I) (Rep)_Election Day Votes,Wiley E. Grady (I) (Rep)_Advanced Voting Votes,Wiley E. Grady (I) (Rep)_Absentee by Mail Votes,Wiley E. Grady (I) (Rep)_Provisional Votes,Wiley E. Grady (I) (Rep)_Choice Total,"Edward """"Ted"""" Terry (Dem)_Election Day Votes","Edward """"Ted"""" Terry (Dem)_Advanced Voting Votes","Edward """"Ted"""" Terry (Dem)_Absentee by Mail Votes","Edward """"Ted"""" Terry (Dem)_Provisional Votes","Edward """"Ted"""" Terry (Dem)_Choice Total",Michael Wayne Kubeck (Rep)_Election Day Votes,Michael Wayne Kubeck (Rep)_Advanced Voting Votes,Michael Wayne Kubeck (Rep)_Absentee by Mail Votes,Michael Wayne Kubeck (Rep)_Provisional Votes,Michael Wayne Kubeck (Rep)_Choice Total,Irene Y. Burney (I) (Dem)_Election Day Votes,Irene Y. Burney (I) (Dem)_Advanced Voting Votes,Irene Y. Burney (I) (Dem)_Absentee by Mail Votes,Irene Y. Burney (I) (Dem)_Provisional Votes,Irene Y. Burney (I) (Dem)_Choice Total,calc_participation
106,6-05C Windsor Hall,Chatham,1993.0,,,,,,1220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,181.0,120.0,0.0,452.0,197.0,324.0,247.0,0.0,768.0,,,,,,,,,,,,,,,,,,,,,61.2
105,6-03C Crusader Comm Center,Chatham,2736.0,,,,,,1890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0,343.0,180.0,0.0,810.0,213.0,456.0,410.0,1.0,1080.0,,,,,,,,,,,,,,,,,,,,,69.1
104,6-02C Windsor Forest Baptist,Chatham,2290.0,,,,,,1747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.0,417.0,243.0,0.0,1067.0,137.0,265.0,277.0,1.0,680.0,,,,,,,,,,,,,,,,,,,,,76.3
103,5-07C Station 1,Chatham,1856.0,,,,,,1033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,99.0,68.0,0.0,272.0,213.0,319.0,226.0,3.0,761.0,,,,,,,,,,,,,,,,,,,,,55.7
109,6-10C Station 3,Chatham,4184.0,,,,,,2899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.0,695.0,330.0,1.0,1417.0,260.0,640.0,578.0,4.0,1482.0,,,,,,,,,,,,,,,,,,,,,69.3
110,6-11C Bamboo Farms,Chatham,5149.0,,,,,,3031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,467.0,193.0,4.0,999.0,431.0,960.0,638.0,3.0,2032.0,,,,,,,,,,,,,,,,,,,,,58.9
107,6-08C Christ Memorial Baptist Church,Chatham,2194.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,95.0,1.0,352.0,215.0,384.0,262.0,0.0,861.0,1213.0,,,,,,,,,,,,,,,,,,,,
108,6-09C Trinity Lutheran Church,Chatham,3319.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.0,279.0,1.0,1048.0,264.0,525.0,382.0,4.0,1175.0,2223.0,,,,,,,,,,,,,,,,,,,,
84,Moultrie,Colquitt,4809.0,,,,,,50.0,12.0,26.0,12.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
85,Hopewell,Colquitt,1670.0,,,,,,1071.0,289.0,645.0,135.0,2.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1
86,Lee,Colquitt,1094.0,,,,,,606.0,225.0,299.0,82.0,0.0,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4
87,Robinson,Colquitt,860.0,,,,,,509.0,240.0,211.0,58.0,0.0,509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2
204,Silver Lake,DeKalb,4979.0,,,,,,2694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,1533.0,922.0,4.0,2694.0,,,,,,,,,,,54.1
134,Clarkston,DeKalb,3878.0,,,,,,1669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0,893.0,405.0,7.0,1669.0,,,,,,,,,,,43.0
