County,Registered Voters,Rodney Hugh Hilley_Election Day Votes,Rodney Hugh Hilley_Advanced Voting Votes,Rodney Hugh Hilley_Absentee by Mail Votes,Rodney Hugh Hilley_Provisional Votes,Rodney Hugh Hilley_Choice Total,Total,"Charles R. Van Hoy, Jr._Election Day Votes","Charles R. Van Hoy, Jr._Advanced Voting Votes","Charles R. Van Hoy, Jr._Absentee by Mail Votes","Charles R. Van Hoy, Jr._Provisional Votes","Charles R. Van Hoy, Jr._Choice Total",Sidney L. Beach (I)_Election Day Votes,Sidney L. Beach (I)_Advanced Voting Votes,Sidney L. Beach (I)_Absentee by Mail Votes,Sidney L. Beach (I)_Provisional Votes,Sidney L. Beach (I)_Choice Total,calc_participation
Monroe,21138.0,0.0,0.0,0.0,0.0,0.0,12593.0,3246.0,7638.0,1701.0,8.0,12593.0,0.0,0.0,0.0,0.0,0.0,59.6
Pike,0.0,2373.0,5882.0,1163.0,1.0,9419.0,9419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upson,18175.0,0.0,0.0,0.0,0.0,0.0,10692.0,0.0,0.0,0.0,0.0,0.0,1734.0,6823.0,2132.0,3.0,10692.0,58.8
