County,Registered Voters,Clay Pirkle (I) (Rep)_Election Day Votes,Clay Pirkle (I) (Rep)_Advanced Voting Votes,Clay Pirkle (I) (Rep)_Absentee by Mail Votes,Clay Pirkle (I) (Rep)_Provisional Votes,Clay Pirkle (I) (Rep)_Choice Total,Lethia Jones Kittrell (Dem)_Election Day Votes,Lethia Jones Kittrell (Dem)_Advanced Voting Votes,Lethia Jones Kittrell (Dem)_Absentee by Mail Votes,Lethia Jones Kittrell (Dem)_Provisional Votes,Lethia Jones Kittrell (Dem)_Choice Total,Total,calc_participation
Ben Hill,9854.0,424.0,3107.0,534.0,0.0,4065.0,346.0,1332.0,696.0,0.0,2374.0,6439.0,65.3
Coffee,4451.0,569.0,1064.0,130.0,0.0,1763.0,163.0,223.0,73.0,0.0,459.0,2222.0,49.9
Irwin,6113.0,653.0,2104.0,379.0,3.0,3139.0,227.0,494.0,241.0,2.0,964.0,4103.0,67.1
Tift,13545.0,1146.0,3009.0,562.0,2.0,4719.0,238.0,631.0,289.0,0.0,1158.0,5877.0,43.4
Turner,5582.0,395.0,1794.0,256.0,1.0,2446.0,304.0,697.0,257.0,1.0,1259.0,3705.0,66.4
