,Precinct,County,Registered Voters,Demetrius Douglas (I) (Dem)_Election Day Votes,Demetrius Douglas (I) (Dem)_Advanced Voting Votes,Demetrius Douglas (I) (Dem)_Absentee by Mail Votes,Demetrius Douglas (I) (Dem)_Provisional Votes,Demetrius Douglas (I) (Dem)_Choice Total,Total,calc_participation
0,Jonesboro 3,Clayton,4107.0,30.0,74.0,60.0,2.0,166.0,166.0,4.0
1,Jonesboro 5,Clayton,2064.0,268.0,563.0,327.0,0.0,1158.0,1158.0,56.1
2,Jonesboro 6,Clayton,2574.0,155.0,674.0,562.0,3.0,1394.0,1394.0,54.2
3,Jonesboro 8,Clayton,3947.0,445.0,1025.0,372.0,2.0,1844.0,1844.0,46.7
4,Jonesboro 11,Clayton,3863.0,106.0,476.0,236.0,1.0,819.0,819.0,21.2
5,Jonesboro 14,Clayton,4116.0,287.0,1333.0,818.0,2.0,2440.0,2440.0,59.3
6,Lovejoy 1,Clayton,4061.0,38.0,138.0,57.0,0.0,233.0,233.0,5.7
7,Lovejoy 2,Clayton,3611.0,261.0,1137.0,489.0,7.0,1894.0,1894.0,52.5
8,Lovejoy 3,Clayton,1666.0,125.0,633.0,371.0,2.0,1131.0,1131.0,67.9
9,Lovejoy 4,Clayton,4149.0,301.0,1588.0,643.0,3.0,2535.0,2535.0,61.1
10,Lovejoy 5,Clayton,3451.0,107.0,365.0,142.0,0.0,614.0,614.0,17.8
11,Lovejoy 6,Clayton,3708.0,294.0,1271.0,619.0,9.0,2193.0,2193.0,59.1
12,Lovejoy 7,Clayton,2779.0,256.0,820.0,223.0,6.0,1305.0,1305.0,47.0
13,Morrow 9,Clayton,1509.0,132.0,412.0,225.0,0.0,769.0,769.0,51.0
14,Red Oak,Henry,5610.0,393.0,2355.0,919.0,0.0,3667.0,3667.0,65.4
15,Stockbridge Central,Henry,4416.0,318.0,1418.0,583.0,1.0,2320.0,2320.0,52.5
