County,Registered Voters,Bill Yearta (I) (Rep)_Election Day Votes,Bill Yearta (I) (Rep)_Advanced Voting Votes,Bill Yearta (I) (Rep)_Absentee by Mail Votes,Bill Yearta (I) (Rep)_Provisional Votes,Bill Yearta (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Lee,22897.0,3621.0,9098.0,1793.0,6.0,14518.0,14518.0,63.4,14518.0
Sumter,2399.0,454.0,582.0,169.0,1.0,1206.0,1206.0,50.3,1206.0
Worth,14469.0,3113.0,3819.0,1185.0,0.0,8117.0,8117.0,56.1,8117.0
