County,Registered Voters,Richard H. Smith (I) (Rep)_Election Day Votes,Richard H. Smith (I) (Rep)_Advanced Voting Votes,Richard H. Smith (I) (Rep)_Absentee by Mail Votes,Richard H. Smith (I) (Rep)_Provisional Votes,Richard H. Smith (I) (Rep)_Choice Total,Carl Sprayberry (Dem)_Election Day Votes,Carl Sprayberry (Dem)_Advanced Voting Votes,Carl Sprayberry (Dem)_Absentee by Mail Votes,Carl Sprayberry (Dem)_Provisional Votes,Carl Sprayberry (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Harris,7109.0,1463.0,2003.0,668.0,1.0,4135.0,227.0,653.0,530.0,0.0,1410.0,5545.0,78.0,4135.0,1410.0
Muscogee,41871.0,3045.0,7499.0,2908.0,4.0,13456.0,1275.0,4284.0,2861.0,1.0,8421.0,21877.0,52.2,13456.0,8421.0
