,Precinct,County,Registered Voters,Camia Whitaker Hopson (I) (Dem)_Election Day Votes,Camia Whitaker Hopson (I) (Dem)_Advanced Voting Votes,Camia Whitaker Hopson (I) (Dem)_Absentee by Mail Votes,Camia Whitaker Hopson (I) (Dem)_Provisional Votes,Camia Whitaker Hopson (I) (Dem)_Choice Total,Total,calc_participation
0,Palmyra Methodist,Dougherty,2761.0,417.0,461.0,329.0,8.0,1215.0,1215.0,44.0
1,Sherwood Elementary,Dougherty,3205.0,537.0,660.0,405.0,0.0,1602.0,1602.0,50.0
2,Covenant Church,Dougherty,2334.0,438.0,417.0,282.0,2.0,1139.0,1139.0,48.8
3,Greenbriar Church,Dougherty,3885.0,499.0,1065.0,734.0,6.0,2304.0,2304.0,59.3
4,Merry Acres Middle,Dougherty,2432.0,411.0,512.0,348.0,10.0,1281.0,1281.0,52.7
5,Phoebe Healthworks,Dougherty,1574.0,200.0,167.0,185.0,1.0,553.0,553.0,35.1
6,Turner Elementary,Dougherty,1205.0,118.0,71.0,68.0,6.0,263.0,263.0,21.8
7,Jackson Heights Elementary,Dougherty,2549.0,384.0,313.0,364.0,0.0,1061.0,1061.0,41.6
8,Bill Miller Center,Dougherty,2404.0,353.0,384.0,284.0,3.0,1024.0,1024.0,42.6
9,International Studies,Dougherty,1042.0,153.0,215.0,196.0,1.0,565.0,565.0,54.2
10,Phoebe East,Dougherty,2965.0,504.0,405.0,385.0,4.0,1298.0,1298.0,43.8
11,Pine Bluff Baptist Church,Dougherty,2221.0,383.0,364.0,351.0,0.0,1098.0,1098.0,49.4
12,Albany Middle School,Dougherty,1963.0,345.0,265.0,253.0,2.0,865.0,865.0,44.1
13,1st Christian Church,Dougherty,1505.0,290.0,311.0,205.0,1.0,807.0,807.0,53.6
14,Lovett Hall,Dougherty,1174.0,197.0,164.0,25.0,1.0,387.0,387.0,33.0
