County,Registered Voters,Dominic LaRiccia (I) (Rep)_Election Day Votes,Dominic LaRiccia (I) (Rep)_Advanced Voting Votes,Dominic LaRiccia (I) (Rep)_Absentee by Mail Votes,Dominic LaRiccia (I) (Rep)_Provisional Votes,Dominic LaRiccia (I) (Rep)_Choice Total,"Michael """"Buckle"""" Moore (Dem)_Election Day Votes","Michael """"Buckle"""" Moore (Dem)_Advanced Voting Votes","Michael """"Buckle"""" Moore (Dem)_Absentee by Mail Votes","Michael """"Buckle"""" Moore (Dem)_Provisional Votes","Michael """"Buckle"""" Moore (Dem)_Choice Total",Total,calc_participation,Rep_total,Dem_total
Bacon,6720.0,396.0,2959.0,466.0,2.0,3823.0,146.0,278.0,172.0,0.0,596.0,4419.0,65.8,3823.0,596.0
Coffee,23061.0,1791.0,5610.0,782.0,6.0,8189.0,1024.0,2259.0,860.0,1.0,4144.0,12333.0,53.5,8189.0,4144.0
Jeff Davis,3721.0,547.0,992.0,208.0,0.0,1747.0,85.0,156.0,93.0,0.0,334.0,2081.0,55.9,1747.0,334.0
