County,Registered Voters,James Chafin_Election Day Votes,James Chafin_Advanced Voting Votes,James Chafin_Absentee by Mail Votes,James Chafin_Provisional Votes,James Chafin_Choice Total,Deborah Gonzalez (Dem)_Election Day Votes,Deborah Gonzalez (Dem)_Advanced Voting Votes,Deborah Gonzalez (Dem)_Absentee by Mail Votes,Deborah Gonzalez (Dem)_Provisional Votes,Deborah Gonzalez (Dem)_Choice Total,Brian Patterson (Dem)_Election Day Votes,Brian Patterson (Dem)_Advanced Voting Votes,Brian Patterson (Dem)_Absentee by Mail Votes,Brian Patterson (Dem)_Provisional Votes,Brian Patterson (Dem)_Choice Total,Total,calc_participation,Dem_total,Dem_steal
Clarke,76504.0,2564.0,5189.0,3085.0,12.0,10850.0,4363.0,13598.0,10917.0,31.0,28909.0,1372.0,3367.0,3613.0,7.0,8359.0,48118.0,62.9,37268.0,8359.0
Oconee,30071.0,2316.0,9753.0,2102.0,1.0,14172.0,518.0,3264.0,1953.0,2.0,5737.0,406.0,1848.0,1336.0,0.0,3590.0,23499.0,78.1,9327.0,3590.0
