County,Registered Voters,"William """"Bill"""" Werkheiser (I) (Rep)_Election Day Votes","William """"Bill"""" Werkheiser (I) (Rep)_Advanced Voting Votes","William """"Bill"""" Werkheiser (I) (Rep)_Absentee by Mail Votes","William """"Bill"""" Werkheiser (I) (Rep)_Provisional Votes","William """"Bill"""" Werkheiser (I) (Rep)_Choice Total",Total,calc_participation,Rep_total
Evans,6135.0,591.0,2223.0,630.0,0.0,3444.0,3444.0,56.1,3444.0
Tattnall,12184.0,1702.0,4072.0,1009.0,0.0,6783.0,6783.0,55.7,6783.0
Wayne,12766.0,1155.0,3842.0,972.0,3.0,5972.0,5972.0,46.8,5972.0
