County,Registered Voters,Max Burns (Rep)_Election Day Votes,Max Burns (Rep)_Advanced Voting Votes,Max Burns (Rep)_Absentee by Mail Votes,Max Burns (Rep)_Provisional Votes,Max Burns (Rep)_Choice Total,Ceretta Smith (Dem)_Election Day Votes,Ceretta Smith (Dem)_Advanced Voting Votes,Ceretta Smith (Dem)_Absentee by Mail Votes,Ceretta Smith (Dem)_Provisional Votes,Ceretta Smith (Dem)_Choice Total,Total,calc_participation
Burke,16556.0,1916.0,2794.0,669.0,0.0,5379.0,1454.0,1805.0,1818.0,0.0,5077.0,10456.0,63.2
Columbia,24805.0,3215.0,5165.0,1587.0,3.0,9970.0,1304.0,2888.0,1968.0,4.0,6164.0,16134.0,65.0
Emanuel,4222.0,1123.0,941.0,237.0,0.0,2301.0,267.0,265.0,215.0,0.0,747.0,3048.0,72.2
Glascock,2039.0,396.0,765.0,198.0,0.0,1359.0,37.0,57.0,47.0,0.0,141.0,1500.0,73.6
Jefferson,11334.0,1090.0,1989.0,465.0,3.0,3547.0,1004.0,1615.0,1210.0,9.0,3838.0,7385.0,65.2
Jenkins,5066.0,565.0,1217.0,349.0,3.0,2134.0,286.0,514.0,401.0,1.0,1202.0,3336.0,65.9
Johnson,5611.0,758.0,1720.0,331.0,0.0,2809.0,200.0,547.0,361.0,0.0,1108.0,3917.0,69.8
McDuffie,15033.0,847.0,4465.0,958.0,0.0,6270.0,584.0,1963.0,1452.0,0.0,3999.0,10269.0,68.3
Richmond,20229.0,2578.0,3506.0,1658.0,4.0,7746.0,1141.0,2688.0,2149.0,3.0,5981.0,13727.0,67.9
Screven,0.0,1278.0,2184.0,563.0,12.0,4037.0,554.0,1141.0,714.0,6.0,2415.0,6452.0,0.0
Warren,3785.0,189.0,771.0,200.0,0.0,1160.0,287.0,597.0,513.0,0.0,1397.0,2557.0,67.6
