County,Registered Voters,William L. Consoletti (I)_Election Day Votes,William L. Consoletti (I)_Advanced Voting Votes,William L. Consoletti (I)_Absentee by Mail Votes,William L. Consoletti (I)_Provisional Votes,William L. Consoletti (I)_Choice Total,Total,Joseph Singleton Wells (I)_Election Day Votes,Joseph Singleton Wells (I)_Advanced Voting Votes,Joseph Singleton Wells (I)_Absentee by Mail Votes,Joseph Singleton Wells (I)_Provisional Votes,Joseph Singleton Wells (I)_Choice Total,calc_participation,Ind_total,Ind_steal
Marion,4913.0,0.0,0.0,0.0,0.0,0.0,2934.0,829.0,1531.0,574.0,0.0,2934.0,59.7,2934.0,2934.0
Muscogee,130878.0,10601.0,33744.0,18350.0,31.0,62726.0,62726.0,0.0,0.0,0.0,0.0,0.0,47.9,62726.0,0.0
