County,Registered Voters,Harrison Lance (Rep)_Election Day Votes,Harrison Lance (Rep)_Advanced Voting Votes,Harrison Lance (Rep)_Absentee by Mail Votes,Harrison Lance (Rep)_Provisional Votes,Harrison Lance (Rep)_Choice Total,"Jennifer """"Jen"""" Jordan (I) (Dem)_Election Day Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Advanced Voting Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Absentee by Mail Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Provisional Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Choice Total",Total,calc_participation,Rep_total,Dem_total
Cobb,91881.0,3465.0,6619.0,4941.0,15.0,15040.0,5026.0,15485.0,13158.0,50.0,33719.0,48759.0,53.1,15040.0,33719.0
Fulton,71177.0,2821.0,15277.0,5635.0,118.0,23851.0,2077.0,16270.0,9953.0,129.0,28429.0,52280.0,73.5,23851.0,28429.0
