County,Registered Voters,Staci Jo Waters_Election Day Votes,Staci Jo Waters_Advanced Voting Votes,Staci Jo Waters_Absentee by Mail Votes,Staci Jo Waters_Provisional Votes,Staci Jo Waters_Choice Total,Total,William Dewey Johnson (I)_Election Day Votes,William Dewey Johnson (I)_Advanced Voting Votes,William Dewey Johnson (I)_Absentee by Mail Votes,William Dewey Johnson (I)_Provisional Votes,William Dewey Johnson (I)_Choice Total,calc_participation
Barrow,55605.0,6663.0,18652.0,5806.0,3.0,31124.0,31124.0,0.0,0.0,0.0,0.0,0.0,56.0
Jackson,51951.0,0.0,0.0,0.0,0.0,0.0,32633.0,5479.0,21454.0,5695.0,5.0,32633.0,62.8
