County,Registered Voters,Bruce Harkness (Rep)_Election Day Votes,Bruce Harkness (Rep)_Advanced Voting Votes,Bruce Harkness (Rep)_Absentee by Mail Votes,Bruce Harkness (Rep)_Provisional Votes,Bruce Harkness (Rep)_Choice Total,Total,Emory Dooley (Rep)_Election Day Votes,Emory Dooley (Rep)_Advanced Voting Votes,Emory Dooley (Rep)_Absentee by Mail Votes,Emory Dooley (Rep)_Provisional Votes,Emory Dooley (Rep)_Choice Total,calc_participation
Dawson,21529.0,0.0,0.0,0.0,0.0,0.0,14266.0,2471.0,9475.0,2316.0,4.0,14266.0,66.3
Habersham,28264.0,2869.0,11270.0,3119.0,16.0,17274.0,17274.0,0.0,0.0,0.0,0.0,0.0,61.1
