,Precinct,County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,calc_participation
1453,3A1,Appling,793.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,88.0,122.0,29.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,72.0,28.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,81.0,6.0,0.0,142.0,2.0,4.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,597.0,75.3
1450,1B,Appling,1309.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,74.0,175.0,40.0,0.0,289.0,2.0,1.0,0.0,0.0,3.0,2.0,10.0,3.0,0.0,15.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,8.0,3.0,11.0,2.0,0.0,16.0,1.0,1.0,0.0,0.0,2.0,5.0,10.0,0.0,0.0,15.0,2.0,3.0,2.0,0.0,7.0,3.0,2.0,1.0,0.0,6.0,73.0,134.0,63.0,1.0,271.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,84.0,156.0,15.0,0.0,255.0,12.0,28.0,32.0,0.0,72.0,0.0,1.0,4.0,0.0,5.0,975.0,74.5
1451,1C,Appling,848.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,51.0,134.0,29.0,2.0,216.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,6.0,2.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,45.0,80.0,16.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,111.0,18.0,0.0,200.0,13.0,9.0,5.0,0.0,27.0,1.0,0.0,0.0,0.0,1.0,624.0,73.6
1452,2,Appling,2251.0,2.0,2.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,35.0,107.0,29.0,0.0,171.0,2.0,1.0,4.0,0.0,7.0,5.0,6.0,2.0,0.0,13.0,2.0,2.0,0.0,0.0,4.0,3.0,6.0,1.0,0.0,10.0,30.0,95.0,47.0,0.0,172.0,12.0,25.0,11.0,0.0,48.0,4.0,3.0,0.0,0.0,7.0,5.0,15.0,2.0,0.0,22.0,12.0,24.0,7.0,0.0,43.0,41.0,70.0,34.0,0.0,145.0,2.0,13.0,0.0,1.0,16.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,57.0,109.0,9.0,0.0,175.0,82.0,266.0,210.0,1.0,559.0,4.0,4.0,1.0,0.0,9.0,1415.0,62.9
1458,5B,Appling,1126.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,64.0,161.0,33.0,1.0,259.0,2.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,5.0,9.0,10.0,0.0,24.0,0.0,4.0,1.0,0.0,5.0,3.0,3.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,4.0,62.0,109.0,37.0,0.0,208.0,3.0,4.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,61.0,117.0,20.0,2.0,200.0,18.0,34.0,24.0,0.0,76.0,1.0,3.0,0.0,0.0,4.0,824.0,73.2
1457,5A,Appling,1147.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,47.0,173.0,36.0,0.0,256.0,1.0,1.0,0.0,0.0,2.0,1.0,9.0,1.0,0.0,11.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,3.0,9.0,2.0,0.0,14.0,2.0,6.0,1.0,0.0,9.0,3.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,4.0,2.0,4.0,1.0,0.0,7.0,29.0,98.0,42.0,1.0,170.0,0.0,0.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,159.0,19.0,0.0,229.0,9.0,30.0,25.0,1.0,65.0,0.0,1.0,0.0,0.0,1.0,800.0,69.7
1456,4D,Appling,1493.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,4.0,86.0,250.0,58.0,1.0,395.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,5.0,11.0,4.0,0.0,20.0,2.0,1.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,43.0,160.0,58.0,0.0,261.0,0.0,3.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,97.0,221.0,41.0,0.0,359.0,9.0,38.0,25.0,0.0,72.0,0.0,0.0,1.0,0.0,1.0,1151.0,77.1
1455,4B,Appling,866.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,69.0,110.0,27.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,94.0,119.0,28.0,0.0,241.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,83.0,11.0,0.0,172.0,2.0,3.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,664.0,76.7
1454,3C,Appling,1566.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,29.0,230.0,65.0,0.0,324.0,0.0,0.0,2.0,0.0,2.0,1.0,8.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,6.0,11.0,24.0,15.0,0.0,50.0,4.0,7.0,4.0,0.0,15.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,11.0,1.0,10.0,7.0,0.0,18.0,30.0,129.0,32.0,0.0,191.0,1.0,5.0,1.0,0.0,7.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,41.0,229.0,28.0,0.0,298.0,25.0,72.0,59.0,0.0,156.0,2.0,0.0,1.0,0.0,3.0,1109.0,70.8
2230,Pearson County,Atkinson,1802.0,3.0,1.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,7.0,110.0,304.0,36.0,0.0,450.0,2.0,0.0,0.0,0.0,2.0,5.0,15.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,2.0,8.0,6.0,1.0,0.0,15.0,6.0,19.0,8.0,0.0,33.0,3.0,6.0,1.0,0.0,10.0,4.0,7.0,0.0,0.0,11.0,0.0,9.0,1.0,0.0,10.0,6.0,7.0,3.0,0.0,16.0,81.0,323.0,38.0,0.0,442.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,4.0,5.0,19.0,0.0,0.0,24.0,15.0,43.0,16.0,0.0,74.0,1.0,6.0,2.0,0.0,9.0,1145.0,63.5
