,Precinct,County,Registered Voters,Todd Jones (I) (Rep)_Election Day Votes,Todd Jones (I) (Rep)_Advanced Voting Votes,Todd Jones (I) (Rep)_Absentee by Mail Votes,Todd Jones (I) (Rep)_Provisional Votes,Todd Jones (I) (Rep)_Choice Total,Christa Olenczak (Dem)_Election Day Votes,Christa Olenczak (Dem)_Advanced Voting Votes,Christa Olenczak (Dem)_Absentee by Mail Votes,Christa Olenczak (Dem)_Provisional Votes,Christa Olenczak (Dem)_Choice Total,Total,calc_participation
3,01 Big Creek,Forsyth,11222.0,437.0,3169.0,1145.0,2.0,4753.0,174.0,1534.0,1126.0,2.0,2836.0,7589.0,67.6
4,07 Cumming,Forsyth,6281.0,6.0,24.0,10.0,0.0,40.0,3.0,27.0,16.0,0.0,46.0,86.0,1.4
5,08 Mashburn,Forsyth,8296.0,97.0,512.0,145.0,0.0,754.0,25.0,138.0,118.0,0.0,281.0,1035.0,12.5
6,19 Old Atlanta,Forsyth,3739.0,189.0,1411.0,339.0,0.0,1939.0,59.0,565.0,352.0,0.0,976.0,2915.0,78.0
7,21 South Forsyth,Forsyth,8318.0,319.0,3404.0,969.0,1.0,4693.0,96.0,1055.0,790.0,1.0,1942.0,6635.0,79.8
8,25 Windermere,Forsyth,9714.0,162.0,1237.0,302.0,0.0,1701.0,91.0,895.0,481.0,1.0,1468.0,3169.0,32.6
9,29 Polo,Forsyth,11222.0,103.0,455.0,153.0,0.0,711.0,42.0,272.0,203.0,0.0,517.0,1228.0,10.9
10,35 Johns Creek,Forsyth,8444.0,278.0,2606.0,946.0,1.0,3831.0,153.0,1479.0,1117.0,0.0,2749.0,6580.0,77.9
11,36 Nichols,Forsyth,6989.0,333.0,2490.0,604.0,1.0,3428.0,110.0,1118.0,581.0,2.0,1811.0,5239.0,75.0
0,JC03A,Fulton,594.0,33.0,154.0,33.0,2.0,222.0,14.0,179.0,55.0,3.0,251.0,473.0,79.6
1,JC04A,Fulton,3177.0,97.0,877.0,258.0,10.0,1242.0,36.0,779.0,455.0,7.0,1277.0,2519.0,79.3
2,JC04C,Fulton,1251.0,47.0,285.0,87.0,0.0,419.0,20.0,324.0,191.0,0.0,535.0,954.0,76.3
