,Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
1884,Activity Center,Chattahoochee,0.0,279.0,445.0,124.0,2.0,850.0,149.0,333.0,152.0,2.0,636.0,20.0,25.0,15.0,0.0,60.0,1546.0,
725,Haywood,Chattooga,169.0,71.0,23.0,3.0,0.0,97.0,10.0,1.0,4.0,1.0,16.0,2.0,0.0,0.0,0.0,2.0,115.0,68.0
732,Subligna,Chattooga,489.0,167.0,123.0,45.0,1.0,336.0,10.0,11.0,17.0,0.0,38.0,3.0,0.0,1.0,0.0,4.0,378.0,77.3
735,Pennville,Chattooga,588.0,65.0,193.0,34.0,0.0,292.0,11.0,24.0,17.0,0.0,52.0,3.0,4.0,0.0,0.0,7.0,351.0,59.7
726,Lyerly,Chattooga,934.0,210.0,257.0,52.0,1.0,520.0,38.0,40.0,26.0,0.0,104.0,13.0,12.0,4.0,0.0,29.0,653.0,69.9
727,Trion,Chattooga,3496.0,557.0,1129.0,242.0,1.0,1929.0,78.0,178.0,133.0,0.0,389.0,21.0,33.0,18.0,0.0,72.0,2390.0,68.4
728,Summerville,Chattooga,5155.0,536.0,1625.0,398.0,1.0,2560.0,147.0,417.0,272.0,1.0,837.0,23.0,54.0,23.0,0.0,100.0,3497.0,67.8
724,Dirtseller,Chattooga,186.0,43.0,58.0,8.0,0.0,109.0,5.0,9.0,5.0,0.0,19.0,1.0,2.0,0.0,0.0,3.0,131.0,70.4
730,Dirttown,Chattooga,897.0,249.0,257.0,72.0,0.0,578.0,33.0,43.0,43.0,0.0,119.0,4.0,8.0,6.0,0.0,18.0,715.0,79.7
731,Seminole,Chattooga,138.0,30.0,41.0,18.0,0.0,89.0,3.0,6.0,3.0,0.0,12.0,3.0,1.0,0.0,0.0,4.0,105.0,76.1
733,Alpine,Chattooga,872.0,256.0,208.0,66.0,0.0,530.0,31.0,48.0,32.0,0.0,111.0,10.0,3.0,2.0,0.0,15.0,656.0,75.2
729,Teloga,Chattooga,593.0,87.0,252.0,60.0,0.0,399.0,6.0,21.0,25.0,0.0,52.0,2.0,3.0,3.0,0.0,8.0,459.0,77.4
734,Cloudland,Chattooga,378.0,82.0,103.0,34.0,0.0,219.0,8.0,37.0,26.0,0.0,71.0,1.0,6.0,2.0,0.0,9.0,299.0,79.1
723,Coldwater,Chattooga,248.0,25.0,81.0,13.0,0.0,119.0,11.0,30.0,25.0,0.0,66.0,0.0,3.0,1.0,0.0,4.0,189.0,76.2
482,Bradshaw,Cherokee,4491.0,449.0,1645.0,604.0,0.0,2698.0,111.0,416.0,349.0,0.0,876.0,33.0,40.0,13.0,0.0,86.0,3660.0,81.5
481,Booth,Cherokee,3899.0,396.0,1243.0,459.0,0.0,2098.0,120.0,414.0,395.0,0.0,929.0,15.0,41.0,18.0,0.0,74.0,3101.0,79.5
480,Bells,Cherokee,5906.0,591.0,1152.0,499.0,1.0,2243.0,271.0,849.0,626.0,0.0,1746.0,43.0,61.0,35.0,0.0,139.0,4128.0,69.9
479,Bascomb,Cherokee,4115.0,563.0,1163.0,397.0,0.0,2123.0,155.0,439.0,359.0,0.0,953.0,40.0,31.0,16.0,0.0,87.0,3163.0,76.9
478,Ball Ground,Cherokee,4065.0,495.0,1703.0,297.0,1.0,2496.0,71.0,226.0,166.0,0.0,463.0,24.0,53.0,20.0,0.0,97.0,3056.0,75.2
477,Avery,Cherokee,3592.0,429.0,1391.0,484.0,1.0,2305.0,71.0,223.0,229.0,0.0,523.0,29.0,34.0,12.0,0.0,75.0,2903.0,80.8
476,Arnold Mill,Cherokee,4884.0,750.0,1467.0,595.0,0.0,2812.0,160.0,420.0,443.0,0.0,1023.0,39.0,40.0,28.0,0.0,107.0,3942.0,80.7
475,Air Acres,Cherokee,3050.0,414.0,752.0,355.0,2.0,1523.0,135.0,346.0,400.0,0.0,881.0,24.0,31.0,19.0,0.0,74.0,2478.0,81.2
484,Canton,Cherokee,8213.0,597.0,2151.0,1028.0,0.0,3776.0,235.0,732.0,803.0,0.0,1770.0,43.0,71.0,28.0,0.0,142.0,5688.0,69.3
504,Rosecreek,Cherokee,3748.0,473.0,1134.0,373.0,0.0,1980.0,137.0,392.0,326.0,0.0,855.0,35.0,31.0,22.0,0.0,88.0,2923.0,78.0
509,Toonigh,Cherokee,6641.0,661.0,2117.0,655.0,0.0,3433.0,201.0,757.0,519.0,0.0,1477.0,48.0,63.0,50.0,0.0,161.0,5071.0,76.4
510,Union Hill,Cherokee,4207.0,795.0,1418.0,491.0,2.0,2706.0,102.0,273.0,274.0,0.0,649.0,32.0,30.0,22.0,0.0,84.0,3439.0,81.7
511,Univeter,Cherokee,5434.0,549.0,2011.0,581.0,0.0,3141.0,101.0,418.0,292.0,0.0,811.0,32.0,46.0,26.0,0.0,104.0,4056.0,74.6
512,Victoria,Cherokee,3132.0,533.0,846.0,278.0,0.0,1657.0,112.0,269.0,172.0,0.0,553.0,32.0,33.0,20.0,0.0,85.0,2295.0,73.3
