,Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
2175,District 3,Crawford,1738.0,193.0,709.0,120.0,0.0,1022.0,35.0,93.0,53.0,0.0,181.0,6.0,16.0,6.0,0.0,28.0,1231.0,70.8
2176,District 4,Crawford,1805.0,351.0,609.0,135.0,0.0,1095.0,35.0,74.0,54.0,0.0,163.0,7.0,10.0,11.0,0.0,28.0,1286.0,71.2
2177,District 5,Crawford,1769.0,356.0,571.0,114.0,0.0,1041.0,31.0,78.0,66.0,0.0,175.0,16.0,13.0,6.0,0.0,35.0,1251.0,70.7
1468,Arabi,Crisp,785.0,161.0,258.0,40.0,0.0,459.0,33.0,44.0,27.0,0.0,104.0,4.0,2.0,0.0,0.0,6.0,569.0,72.5
1469,Coney,Crisp,859.0,125.0,418.0,84.0,0.0,627.0,16.0,36.0,29.0,0.0,81.0,0.0,3.0,1.0,0.0,4.0,712.0,82.9
1471,Jamestown,Crisp,1196.0,208.0,492.0,138.0,0.0,838.0,14.0,49.0,34.0,1.0,98.0,1.0,3.0,0.0,0.0,4.0,940.0,78.6
1470,Cordele,Crisp,8897.0,292.0,1811.0,452.0,4.0,2559.0,476.0,1292.0,727.0,0.0,2495.0,26.0,43.0,17.0,0.0,86.0,5140.0,57.8
1472,Listonia,Crisp,817.0,192.0,298.0,81.0,0.0,571.0,6.0,13.0,12.0,0.0,31.0,2.0,2.0,1.0,0.0,5.0,607.0,74.3
1652,Davis,Dade,2012.0,409.0,659.0,83.0,1.0,1152.0,40.0,56.0,24.0,0.0,120.0,12.0,29.0,3.0,0.0,44.0,1316.0,65.4
1651,New Salem,Dade,1255.0,277.0,339.0,90.0,1.0,707.0,39.0,87.0,68.0,0.0,194.0,8.0,10.0,6.0,0.0,24.0,925.0,73.7
1650,South Dade,Dade,969.0,180.0,277.0,48.0,0.0,505.0,26.0,64.0,30.0,0.0,120.0,10.0,13.0,2.0,0.0,25.0,650.0,67.1
1654,West Brow,Dade,1237.0,278.0,270.0,87.0,0.0,635.0,50.0,78.0,54.0,0.0,182.0,13.0,9.0,3.0,0.0,25.0,842.0,68.1
1655,Trenton,Dade,3573.0,323.0,1066.0,169.0,2.0,1560.0,44.0,185.0,69.0,1.0,299.0,8.0,31.0,3.0,0.0,42.0,1901.0,53.2
1656,North Dade,Dade,1903.0,274.0,556.0,91.0,1.0,922.0,43.0,146.0,82.0,0.0,271.0,12.0,15.0,10.0,0.0,37.0,1230.0,64.6
1653,New Home,Dade,711.0,201.0,143.0,46.0,0.0,390.0,26.0,21.0,19.0,1.0,67.0,7.0,3.0,1.0,0.0,11.0,468.0,65.8
1338,West,Dawson,2723.0,392.0,927.0,324.0,0.0,1643.0,33.0,202.0,226.0,1.0,462.0,15.0,12.0,6.0,0.0,33.0,2138.0,78.5
1340,East,Dawson,8915.0,983.0,3669.0,834.0,0.0,5486.0,129.0,467.0,455.0,1.0,1052.0,50.0,95.0,36.0,0.0,181.0,6719.0,75.4
1339,Central,Dawson,9891.0,904.0,4413.0,769.0,2.0,6088.0,88.0,427.0,260.0,0.0,775.0,48.0,120.0,36.0,0.0,204.0,7067.0,71.4
2389,Skyland,DeKalb,2100.0,157.0,407.0,164.0,3.0,731.0,88.0,493.0,321.0,5.0,907.0,8.0,18.0,9.0,0.0,35.0,1673.0,79.7
2390,Snapfinger Elem,DeKalb,1894.0,19.0,16.0,11.0,1.0,47.0,155.0,604.0,493.0,0.0,1252.0,5.0,13.0,7.0,0.0,25.0,1324.0,69.9
2391,Smoke Rise,DeKalb,2108.0,141.0,314.0,216.0,1.0,672.0,77.0,532.0,424.0,0.0,1033.0,7.0,20.0,8.0,0.0,35.0,1740.0,82.5
2388,Silver Lake,DeKalb,4979.0,213.0,1074.0,416.0,4.0,1707.0,130.0,1042.0,761.0,2.0,1935.0,10.0,40.0,29.0,0.0,79.0,3721.0,74.7
2387,Stone Mountain Elem,DeKalb,2338.0,30.0,108.0,241.0,0.0,379.0,141.0,486.0,507.0,3.0,1137.0,11.0,18.0,11.0,0.0,40.0,1556.0,66.6
2326,Lavista,DeKalb,3223.0,117.0,252.0,184.0,4.0,557.0,159.0,793.0,586.0,6.0,1544.0,16.0,20.0,11.0,0.0,47.0,2148.0,66.6
2386,Shaw-Robert Shaw Elem,DeKalb,2892.0,46.0,71.0,47.0,0.0,164.0,221.0,828.0,542.0,3.0,1594.0,14.0,23.0,16.0,0.0,53.0,1811.0,62.6
2325,Lavista Road,DeKalb,2223.0,99.0,190.0,182.0,1.0,472.0,99.0,518.0,602.0,4.0,1223.0,6.0,14.0,11.0,0.0,31.0,1726.0,77.6
2324,Lakeside High,DeKalb,3216.0,179.0,435.0,306.0,3.0,923.0,131.0,896.0,620.0,0.0,1647.0,10.0,26.0,18.0,0.0,54.0,2624.0,81.6
2323,Kittredge Elem,DeKalb,2161.0,145.0,481.0,209.0,2.0,837.0,52.0,513.0,393.0,2.0,960.0,8.0,18.0,19.0,0.0,45.0,1842.0,85.2
2322,Knollwood,DeKalb,2546.0,46.0,40.0,15.0,0.0,101.0,229.0,667.0,452.0,11.0,1359.0,16.0,7.0,9.0,2.0,34.0,1494.0,58.7
2392,Stone Mtn Middle,DeKalb,3247.0,33.0,46.0,51.0,1.0,131.0,279.0,597.0,297.0,16.0,1189.0,8.0,10.0,6.0,0.0,24.0,1344.0,41.4
2385,Scott,DeKalb,2805.0,69.0,168.0,111.0,1.0,349.0,90.0,754.0,864.0,1.0,1709.0,8.0,13.0,26.0,1.0,48.0,2106.0,75.1
2416,Woodrow Road,DeKalb,3493.0,24.0,52.0,41.0,0.0,117.0,231.0,1075.0,456.0,13.0,1775.0,8.0,22.0,9.0,0.0,39.0,1931.0,55.3
2328,Lin-Mary Lin Elem,DeKalb,3009.0,74.0,179.0,121.0,3.0,377.0,108.0,1032.0,882.0,4.0,2026.0,6.0,17.0,12.0,1.0,36.0,2439.0,81.1
2375,Rockbridge Elem,DeKalb,3595.0,30.0,72.0,43.0,7.0,152.0,294.0,919.0,497.0,15.0,1725.0,12.0,23.0,8.0,0.0,43.0,1920.0,53.4
2376,Rock Chapel Elem,DeKalb,2910.0,11.0,36.0,18.0,1.0,66.0,211.0,1097.0,498.0,6.0,1812.0,8.0,19.0,4.0,0.0,31.0,1909.0,65.6
2377,Rowland Elem,DeKalb,3765.0,25.0,60.0,38.0,0.0,123.0,270.0,904.0,559.0,9.0,1742.0,17.0,19.0,15.0,0.0,51.0,1916.0,50.9
2378,Redan-Trotti Library,DeKalb,3990.0,16.0,42.0,24.0,0.0,82.0,252.0,1250.0,724.0,19.0,2245.0,12.0,26.0,9.0,1.0,48.0,2375.0,59.5
2379,Rockbridge Road,DeKalb,3965.0,32.0,61.0,32.0,2.0,127.0,277.0,1471.0,935.0,8.0,2691.0,11.0,12.0,19.0,0.0,42.0,2860.0,72.1
2308,Hambrick Elem,DeKalb,3776.0,80.0,140.0,101.0,2.0,323.0,275.0,1072.0,592.0,9.0,1948.0,11.0,22.0,11.0,1.0,45.0,2316.0,61.3
2309,Hawthorne Elem,DeKalb,3884.0,144.0,355.0,170.0,1.0,670.0,222.0,1087.0,639.0,5.0,1953.0,17.0,29.0,14.0,1.0,61.0,2684.0,69.1
2305,Gresham Road,DeKalb,3601.0,16.0,50.0,37.0,1.0,104.0,212.0,1154.0,754.0,15.0,2135.0,10.0,29.0,13.0,0.0,52.0,2291.0,63.6
2327,Lithonia,DeKalb,1730.0,23.0,32.0,16.0,1.0,72.0,226.0,378.0,207.0,2.0,813.0,8.0,9.0,8.0,0.0,25.0,910.0,52.6
2380,Rowland Road,DeKalb,2080.0,24.0,32.0,44.0,0.0,100.0,167.0,590.0,397.0,9.0,1163.0,11.0,12.0,6.0,0.0,29.0,1292.0,62.1
2382,Rock Chapel Road,DeKalb,4178.0,29.0,106.0,80.0,1.0,216.0,239.0,1581.0,765.0,17.0,2602.0,5.0,25.0,14.0,2.0,46.0,2864.0,68.5
2383,Redan Middle,DeKalb,2496.0,13.0,49.0,21.0,1.0,84.0,147.0,844.0,503.0,4.0,1498.0,4.0,19.0,9.0,0.0,32.0,1614.0,64.7
2384,Sagamore Hills Elem,DeKalb,2925.0,166.0,351.0,307.0,0.0,824.0,123.0,766.0,768.0,0.0,1657.0,14.0,17.0,8.0,0.0,39.0,2520.0,86.2
2321,Kelley Chapel Road,DeKalb,1337.0,14.0,12.0,8.0,0.0,34.0,116.0,460.0,317.0,1.0,894.0,3.0,4.0,2.0,0.0,9.0,937.0,70.1
2332,McNair High,DeKalb,4160.0,46.0,80.0,40.0,0.0,166.0,256.0,1396.0,949.0,5.0,2606.0,10.0,25.0,16.0,1.0,52.0,2824.0,67.9
2331,Miller-Eldridge L Miller Elem,DeKalb,3455.0,34.0,56.0,45.0,0.0,135.0,285.0,932.0,676.0,7.0,1900.0,13.0,13.0,12.0,1.0,39.0,2074.0,60.0
2330,Livsey Elem,DeKalb,1350.0,75.0,235.0,116.0,0.0,426.0,53.0,363.0,267.0,0.0,683.0,3.0,12.0,5.0,0.0,20.0,1129.0,83.6
2329,Lithonia High,DeKalb,3610.0,14.0,28.0,16.0,0.0,58.0,336.0,1066.0,504.0,12.0,1918.0,13.0,27.0,11.0,0.0,51.0,2027.0,56.1
2381,Redan Road,DeKalb,2932.0,16.0,29.0,27.0,1.0,73.0,224.0,873.0,495.0,12.0,1604.0,4.0,22.0,8.0,0.0,34.0,1711.0,58.4
2320,Kingsley Elem,DeKalb,2490.0,200.0,614.0,346.0,4.0,1164.0,74.0,424.0,434.0,5.0,937.0,11.0,12.0,4.0,0.0,27.0,2128.0,85.5
2315,Idlewood Elem,DeKalb,2472.0,88.0,148.0,89.0,3.0,328.0,187.0,717.0,371.0,7.0,1282.0,7.0,7.0,9.0,0.0,23.0,1633.0,66.1
2318,Jolly Elem,DeKalb,3679.0,92.0,185.0,112.0,4.0,393.0,234.0,889.0,580.0,13.0,1716.0,15.0,13.0,23.0,0.0,51.0,2160.0,58.7
2239,Ashford Dunwoody Rd,DeKalb,2966.0,205.0,668.0,256.0,4.0,1133.0,58.0,758.0,500.0,2.0,1318.0,9.0,17.0,13.0,0.0,39.0,2490.0,84.0
2404,South Hairston,DeKalb,3814.0,30.0,39.0,27.0,1.0,97.0,341.0,1067.0,604.0,13.0,2025.0,11.0,19.0,15.0,1.0,46.0,2168.0,56.8
2405,Stephenson High,DeKalb,3555.0,23.0,74.0,40.0,3.0,140.0,249.0,1172.0,769.0,3.0,2193.0,10.0,18.0,15.0,1.0,44.0,2377.0,66.9
2406,Stonecrest Library,DeKalb,3720.0,19.0,54.0,17.0,2.0,92.0,196.0,1509.0,524.0,11.0,2240.0,10.0,16.0,4.0,0.0,30.0,2362.0,63.5
2407,Snapfinger Road,DeKalb,4872.0,11.0,76.0,25.0,0.0,112.0,206.0,2172.0,1062.0,11.0,3451.0,9.0,29.0,11.0,0.0,49.0,3612.0,74.1
2408,Terry Mill,DeKalb,2808.0,19.0,47.0,14.0,1.0,81.0,218.0,946.0,589.0,5.0,1758.0,7.0,20.0,11.0,0.0,38.0,1877.0,66.8
2409,Toney Elem,DeKalb,1729.0,10.0,15.0,13.0,1.0,39.0,146.0,453.0,345.0,4.0,948.0,7.0,14.0,9.0,1.0,31.0,1018.0,58.9
2410,Tucker Library,DeKalb,3506.0,130.0,609.0,276.0,2.0,1017.0,89.0,964.0,626.0,3.0,1682.0,9.0,43.0,19.0,0.0,71.0,2770.0,79.0
2411,Tilly Mill Road,DeKalb,1552.0,124.0,371.0,150.0,1.0,646.0,53.0,337.0,229.0,0.0,619.0,8.0,9.0,14.0,0.0,31.0,1296.0,83.5
2238,Austin Drive,DeKalb,2536.0,25.0,33.0,30.0,2.0,90.0,187.0,621.0,428.0,14.0,1250.0,6.0,22.0,13.0,0.0,41.0,1381.0,54.5
2412,Tucker,DeKalb,2932.0,66.0,359.0,216.0,2.0,643.0,94.0,832.0,521.0,6.0,1453.0,9.0,16.0,12.0,0.0,37.0,2133.0,72.7
2414,Wadsworth,DeKalb,3159.0,17.0,25.0,27.0,1.0,70.0,266.0,864.0,641.0,10.0,1781.0,6.0,23.0,11.0,2.0,42.0,1893.0,59.9
2424,Young Road,DeKalb,1951.0,6.0,30.0,12.0,1.0,49.0,96.0,756.0,411.0,6.0,1269.0,10.0,8.0,11.0,1.0,30.0,1348.0,69.1
2423,Wynbrooke Elem,DeKalb,3496.0,33.0,75.0,35.0,0.0,143.0,270.0,1295.0,786.0,12.0,2363.0,8.0,17.0,14.0,1.0,40.0,2546.0,72.8
2422,Winters Chapel,DeKalb,1434.0,127.0,296.0,144.0,1.0,568.0,54.0,305.0,243.0,1.0,603.0,6.0,11.0,9.0,1.0,27.0,1198.0,83.5
2421,White Oak,DeKalb,2951.0,19.0,15.0,12.0,1.0,47.0,304.0,720.0,412.0,6.0,1442.0,8.0,15.0,13.0,0.0,36.0,1525.0,51.7
2420,Woodward,DeKalb,3193.0,76.0,303.0,189.0,2.0,570.0,131.0,861.0,727.0,2.0,1721.0,5.0,21.0,22.0,0.0,48.0,2339.0,73.3
2419,Warren Tech,DeKalb,1364.0,81.0,115.0,65.0,0.0,261.0,124.0,313.0,198.0,3.0,638.0,15.0,5.0,7.0,0.0,27.0,926.0,67.9
2418,Woodridge Elem,DeKalb,3851.0,20.0,59.0,54.0,1.0,134.0,316.0,1019.0,715.0,12.0,2062.0,8.0,14.0,19.0,0.0,41.0,2237.0,58.1
2417,Winnona Park,DeKalb,2020.0,29.0,104.0,64.0,0.0,197.0,39.0,847.0,576.0,2.0,1464.0,4.0,15.0,7.0,0.0,26.0,1687.0,83.5
2413,Valley Brook,DeKalb,1037.0,47.0,60.0,49.0,2.0,158.0,110.0,278.0,241.0,3.0,632.0,7.0,4.0,1.0,0.0,12.0,802.0,77.3
2319,Kelley Lake Elem,DeKalb,3015.0,19.0,40.0,25.0,0.0,84.0,268.0,742.0,563.0,3.0,1576.0,13.0,18.0,12.0,0.0,43.0,1703.0,56.5
2237,Avondale,DeKalb,2906.0,211.0,226.0,149.0,0.0,586.0,223.0,920.0,737.0,1.0,1881.0,15.0,21.0,22.0,0.0,58.0,2525.0,86.9
2235,Ashford Park Elem,DeKalb,2432.0,213.0,601.0,194.0,0.0,1008.0,86.0,494.0,365.0,1.0,946.0,14.0,19.0,12.0,0.0,45.0,1999.0,82.2
2317,Johnson Estates,DeKalb,1600.0,57.0,161.0,133.0,0.0,351.0,32.0,486.0,510.0,0.0,1028.0,1.0,9.0,7.0,0.0,17.0,1396.0,87.2
2316,Indian Creek,DeKalb,2318.0,52.0,83.0,66.0,3.0,204.0,143.0,498.0,340.0,11.0,992.0,10.0,15.0,8.0,0.0,33.0,1229.0,53.0
2415,Wesley Chapel Library,DeKalb,2922.0,12.0,40.0,19.0,0.0,71.0,193.0,1099.0,698.0,6.0,1996.0,4.0,14.0,8.0,1.0,27.0,2094.0,71.7
2314,Harris-Margaret Harris ED,DeKalb,1462.0,56.0,77.0,53.0,1.0,187.0,100.0,454.0,300.0,4.0,858.0,8.0,12.0,9.0,0.0,29.0,1074.0,73.5
2313,Harris-Narvie J Harris Elem,DeKalb,4031.0,19.0,33.0,18.0,0.0,70.0,162.0,1594.0,765.0,10.0,2531.0,5.0,21.0,9.0,0.0,35.0,2636.0,65.4
2312,Hugh Howell,DeKalb,1773.0,111.0,229.0,185.0,1.0,526.0,115.0,469.0,289.0,0.0,873.0,7.0,15.0,7.0,0.0,29.0,1428.0,80.5
2311,Huntley Hills Elem,DeKalb,3508.0,140.0,345.0,139.0,1.0,625.0,252.0,1027.0,464.0,5.0,1748.0,18.0,39.0,17.0,0.0,74.0,2447.0,69.8
2310,Henderson Mill,DeKalb,3104.0,119.0,402.0,255.0,0.0,776.0,129.0,794.0,616.0,2.0,1541.0,12.0,29.0,18.0,0.0,59.0,2376.0,76.5
2393,Stone Mill Elem,DeKalb,3714.0,33.0,51.0,39.0,0.0,123.0,317.0,656.0,426.0,12.0,1411.0,15.0,10.0,11.0,2.0,38.0,1572.0,42.3
2236,Austin,DeKalb,2538.0,242.0,635.0,345.0,3.0,1225.0,53.0,495.0,400.0,1.0,949.0,13.0,9.0,7.0,0.0,29.0,2203.0,86.8
2394,Shadow Rock Elem,DeKalb,4347.0,21.0,58.0,45.0,0.0,124.0,278.0,1546.0,1000.0,11.0,2835.0,15.0,14.0,11.0,0.0,40.0,2999.0,69.0
2396,Salem Middle,DeKalb,3519.0,15.0,48.0,22.0,0.0,85.0,212.0,1386.0,814.0,5.0,2417.0,9.0,18.0,11.0,2.0,40.0,2542.0,72.2
2397,Shamrock,DeKalb,1600.0,81.0,137.0,94.0,0.0,312.0,113.0,416.0,451.0,6.0,986.0,4.0,15.0,7.0,0.0,26.0,1324.0,82.8
2398,South Deshon,DeKalb,3470.0,19.0,45.0,19.0,0.0,83.0,246.0,1256.0,621.0,13.0,2136.0,7.0,15.0,9.0,1.0,32.0,2251.0,64.9
2399,Stone Mtn Champion,DeKalb,3098.0,64.0,63.0,48.0,1.0,176.0,273.0,752.0,440.0,9.0,1474.0,15.0,15.0,13.0,0.0,43.0,1693.0,54.6
2400,Stone Mtn,DeKalb,1711.0,48.0,92.0,39.0,1.0,180.0,154.0,336.0,285.0,2.0,777.0,9.0,6.0,9.0,0.0,24.0,981.0,57.3
2401,Snapfinger Road N,DeKalb,2705.0,9.0,31.0,22.0,0.0,62.0,228.0,679.0,444.0,6.0,1357.0,9.0,13.0,15.0,0.0,37.0,1456.0,53.8
2402,Snapfinger Road S,DeKalb,1960.0,24.0,25.0,11.0,0.0,60.0,143.0,708.0,424.0,3.0,1278.0,5.0,11.0,8.0,0.0,24.0,1362.0,69.5
2403,Stephenson Middle,DeKalb,3822.0,43.0,68.0,35.0,0.0,146.0,276.0,1371.0,756.0,1.0,2404.0,10.0,16.0,8.0,1.0,35.0,2585.0,67.6
2234,Allgood Elem,DeKalb,2858.0,47.0,73.0,68.0,1.0,189.0,220.0,892.0,566.0,4.0,1682.0,13.0,15.0,11.0,0.0,39.0,1910.0,66.8
2395,Stoneview Elem,DeKalb,1988.0,13.0,32.0,19.0,0.0,64.0,152.0,479.0,235.0,10.0,876.0,8.0,11.0,8.0,0.0,27.0,967.0,48.6
2277,Candler Park,DeKalb,4018.0,60.0,185.0,112.0,0.0,357.0,89.0,1658.0,1281.0,2.0,3030.0,10.0,28.0,11.0,0.0,49.0,3436.0,85.5
2307,Glenwood Road,DeKalb,2293.0,24.0,34.0,33.0,0.0,91.0,187.0,535.0,379.0,5.0,1106.0,8.0,5.0,12.0,0.0,25.0,1222.0,53.3
2302,Freedom Middle,DeKalb,3227.0,48.0,70.0,64.0,0.0,182.0,273.0,840.0,529.0,11.0,1653.0,8.0,18.0,10.0,0.0,36.0,1871.0,58.0
2294,Fairington Elem,DeKalb,5455.0,18.0,45.0,25.0,0.0,88.0,436.0,1555.0,634.0,20.0,2645.0,10.0,35.0,11.0,1.0,57.0,2790.0,51.1
2306,Georgetown Sq,DeKalb,4155.0,166.0,576.0,203.0,4.0,949.0,184.0,1109.0,561.0,5.0,1859.0,10.0,29.0,9.0,1.0,49.0,2857.0,68.8
2295,Fernbank Elem,DeKalb,2125.0,88.0,162.0,161.0,3.0,414.0,86.0,638.0,722.0,1.0,1447.0,4.0,3.0,8.0,0.0,15.0,1876.0,88.3
2296,Flat Shoals Elem,DeKalb,2409.0,15.0,19.0,13.0,0.0,47.0,191.0,634.0,403.0,10.0,1238.0,8.0,8.0,7.0,0.0,23.0,1308.0,54.3
2297,Flat Shoals Parkway,DeKalb,3449.0,19.0,47.0,11.0,0.0,77.0,191.0,1302.0,747.0,4.0,2244.0,10.0,17.0,8.0,0.0,35.0,2356.0,68.3
2247,Briarcliff,DeKalb,3122.0,163.0,344.0,313.0,4.0,824.0,93.0,641.0,722.0,3.0,1459.0,13.0,15.0,21.0,0.0,49.0,2332.0,74.7
2246,Brockett Elem,DeKalb,2752.0,79.0,290.0,198.0,0.0,567.0,136.0,717.0,484.0,7.0,1344.0,6.0,22.0,14.0,0.0,42.0,1953.0,71.0
2245,Briarwood,DeKalb,2428.0,127.0,415.0,145.0,1.0,688.0,98.0,578.0,392.0,3.0,1071.0,8.0,15.0,15.0,0.0,38.0,1797.0,74.0
2244,Briarlake Elem,DeKalb,1752.0,139.0,232.0,167.0,0.0,538.0,76.0,451.0,388.0,0.0,915.0,5.0,13.0,14.0,1.0,33.0,1486.0,84.8
2243,Briar Vista Elem,DeKalb,2965.0,127.0,211.0,150.0,1.0,489.0,141.0,788.0,776.0,0.0,1705.0,13.0,9.0,24.0,0.0,46.0,2240.0,75.5
2242,Boulevard,DeKalb,4675.0,54.0,168.0,85.0,1.0,308.0,243.0,1820.0,1177.0,3.0,3243.0,11.0,31.0,20.0,0.0,62.0,3613.0,77.3
2241,Avondale High,DeKalb,3151.0,52.0,141.0,101.0,0.0,294.0,109.0,1115.0,916.0,4.0,2144.0,15.0,18.0,16.0,0.0,49.0,2487.0,78.9
2240,Ashford Parkside,DeKalb,3664.0,188.0,644.0,319.0,2.0,1153.0,96.0,789.0,684.0,4.0,1573.0,10.0,21.0,19.0,0.0,50.0,2776.0,75.8
2298,Flat Rock Elem,DeKalb,3142.0,17.0,46.0,20.0,0.0,83.0,245.0,1311.0,516.0,6.0,2078.0,7.0,21.0,8.0,1.0,37.0,2198.0,70.0
2299,Flat Shoals,DeKalb,2649.0,12.0,19.0,9.0,0.0,40.0,178.0,644.0,445.0,8.0,1275.0,12.0,11.0,11.0,0.0,34.0,1349.0,50.9
2300,Flakes Mill Fire Station,DeKalb,2103.0,9.0,26.0,20.0,0.0,55.0,112.0,740.0,412.0,7.0,1271.0,4.0,11.0,3.0,0.0,18.0,1344.0,63.9
2301,Flat Shoals Library,DeKalb,2788.0,10.0,22.0,11.0,0.0,43.0,232.0,728.0,404.0,2.0,1366.0,10.0,14.0,7.0,1.0,32.0,1441.0,51.7
2284,Dunaire Elem,DeKalb,2268.0,37.0,70.0,57.0,2.0,166.0,175.0,606.0,398.0,5.0,1184.0,8.0,21.0,8.0,0.0,37.0,1387.0,61.2
2303,Glennwood,DeKalb,2715.0,41.0,116.0,82.0,2.0,241.0,72.0,847.0,790.0,4.0,1713.0,8.0,18.0,17.0,0.0,43.0,1997.0,73.6
2304,Glenhaven,DeKalb,1880.0,40.0,35.0,38.0,0.0,113.0,209.0,479.0,302.0,3.0,993.0,6.0,11.0,5.0,0.0,22.0,1128.0,60.0
2374,Rehoboth,DeKalb,1813.0,110.0,164.0,174.0,1.0,449.0,56.0,422.0,491.0,3.0,972.0,12.0,13.0,18.0,0.0,43.0,1464.0,80.8
2373,Redan Elem,DeKalb,3020.0,16.0,38.0,15.0,0.0,69.0,203.0,1135.0,571.0,7.0,1916.0,2.0,18.0,11.0,1.0,32.0,2017.0,66.8
2372,Rainbow Elem,DeKalb,3768.0,17.0,45.0,41.0,1.0,104.0,247.0,1197.0,817.0,7.0,2268.0,8.0,14.0,8.0,1.0,31.0,2403.0,63.8
2371,Panola Road,DeKalb,2884.0,15.0,29.0,10.0,0.0,54.0,184.0,997.0,557.0,8.0,1746.0,3.0,16.0,9.0,0.0,28.0,1828.0,63.4
2370,Piney Grove,DeKalb,2018.0,16.0,36.0,7.0,0.0,59.0,159.0,520.0,335.0,7.0,1021.0,4.0,9.0,8.0,0.0,21.0,1101.0,54.6
2293,Emory Road,DeKalb,2290.0,32.0,65.0,67.0,0.0,164.0,118.0,621.0,409.0,7.0,1155.0,4.0,4.0,7.0,1.0,16.0,1335.0,58.3
2369,Panola Way Elem,DeKalb,2252.0,11.0,22.0,20.0,0.0,53.0,195.0,574.0,302.0,21.0,1092.0,8.0,13.0,3.0,0.0,24.0,1169.0,51.9
2292,Emory South,DeKalb,3241.0,109.0,241.0,156.0,0.0,506.0,147.0,933.0,855.0,7.0,1942.0,9.0,18.0,22.0,0.0,49.0,2497.0,77.0
2248,Brockett,DeKalb,2681.0,147.0,254.0,156.0,3.0,560.0,163.0,686.0,455.0,5.0,1309.0,19.0,22.0,11.0,0.0,52.0,1921.0,71.7
2268,Cross Keys High,DeKalb,2260.0,104.0,275.0,153.0,1.0,533.0,95.0,496.0,445.0,3.0,1039.0,14.0,8.0,19.0,0.0,41.0,1613.0,71.4
2287,Druid Hills High,DeKalb,2725.0,88.0,122.0,127.0,1.0,338.0,105.0,621.0,634.0,2.0,1362.0,6.0,11.0,10.0,0.0,27.0,1727.0,63.4
2288,Dunwoody Library,DeKalb,2570.0,107.0,799.0,307.0,1.0,1214.0,31.0,565.0,368.0,1.0,965.0,7.0,18.0,16.0,1.0,42.0,2221.0,86.4
2289,East Lake,DeKalb,4139.0,55.0,179.0,58.0,2.0,294.0,198.0,1489.0,917.0,6.0,2610.0,18.0,44.0,12.0,0.0,74.0,2978.0,71.9
2290,Embry Hills,DeKalb,1721.0,73.0,251.0,140.0,0.0,464.0,65.0,435.0,374.0,0.0,874.0,6.0,13.0,13.0,0.0,32.0,1370.0,79.6
2267,Coan Recreation Center,DeKalb,4230.0,32.0,159.0,79.0,1.0,271.0,186.0,1537.0,885.0,3.0,2611.0,13.0,32.0,23.0,0.0,68.0,2950.0,69.7
2266,Columbia Middle,DeKalb,2178.0,16.0,23.0,1.0,0.0,40.0,146.0,594.0,336.0,6.0,1082.0,3.0,5.0,11.0,1.0,20.0,1142.0,52.4
2265,Clifton,DeKalb,1731.0,8.0,24.0,15.0,0.0,47.0,128.0,519.0,323.0,5.0,975.0,2.0,7.0,6.0,1.0,16.0,1038.0,60.0
2264,Clarkston,DeKalb,3878.0,45.0,94.0,39.0,0.0,178.0,369.0,931.0,413.0,13.0,1726.0,18.0,21.0,10.0,1.0,50.0,1954.0,50.4
2263,Clairmont Road,DeKalb,3223.0,99.0,197.0,199.0,2.0,497.0,146.0,821.0,873.0,4.0,1844.0,4.0,11.0,12.0,0.0,27.0,2368.0,73.5
2285,Dunwoody,DeKalb,3003.0,118.0,460.0,196.0,1.0,775.0,108.0,768.0,518.0,6.0,1400.0,10.0,18.0,16.0,1.0,45.0,2220.0,73.9
2262,Clairemont West,DeKalb,3264.0,75.0,188.0,163.0,1.0,427.0,111.0,1144.0,1059.0,3.0,2317.0,10.0,22.0,14.0,0.0,46.0,2790.0,85.5
2261,Chesnut Elem,DeKalb,2363.0,106.0,244.0,86.0,1.0,437.0,173.0,700.0,348.0,1.0,1222.0,12.0,14.0,6.0,0.0,32.0,1691.0,71.6
2260,Chapel Hill Elem,DeKalb,3349.0,19.0,33.0,22.0,1.0,75.0,250.0,1189.0,676.0,7.0,2122.0,9.0,27.0,10.0,0.0,46.0,2243.0,67.0
2259,Candler-Murphey Candler Elem,DeKalb,3712.0,29.0,87.0,43.0,0.0,159.0,273.0,1388.0,614.0,6.0,2281.0,15.0,22.0,14.0,1.0,52.0,2492.0,67.1
2258,Chamblee,DeKalb,2231.0,109.0,332.0,85.0,0.0,526.0,109.0,574.0,376.0,2.0,1061.0,14.0,23.0,14.0,1.0,52.0,1639.0,73.5
