County,Registered Voters,Doreen Carter (I) (Dem)_Election Day Votes,Doreen Carter (I) (Dem)_Advanced Voting Votes,Doreen Carter (I) (Dem)_Absentee by Mail Votes,Doreen Carter (I) (Dem)_Provisional Votes,Doreen Carter (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
DeKalb,20946.0,1699.0,6199.0,3182.0,27.0,11107.0,11107.0,53.0,11107.0
Rockdale,27784.0,1471.0,5537.0,2875.0,6.0,9889.0,9889.0,35.6,9889.0
