,Precinct,County,Registered Voters,Nan Orrock (I) (Dem)_Election Day Votes,Nan Orrock (I) (Dem)_Advanced Voting Votes,Nan Orrock (I) (Dem)_Absentee by Mail Votes,Nan Orrock (I) (Dem)_Provisional Votes,Nan Orrock (I) (Dem)_Choice Total,Total,calc_participation
0,01A,Fulton,3694.0,172.0,1704.0,717.0,23.0,2616.0,2616.0,70.8
60,12J,Fulton,3154.0,252.0,687.0,322.0,26.0,1287.0,1287.0,40.8
59,12H2,Fulton,2998.0,269.0,676.0,383.0,7.0,1335.0,1335.0,44.5
58,12H1,Fulton,1170.0,96.0,165.0,76.0,11.0,348.0,348.0,29.7
57,12G,Fulton,885.0,57.0,174.0,173.0,1.0,405.0,405.0,45.8
56,12F,Fulton,1229.0,106.0,294.0,87.0,2.0,489.0,489.0,39.8
55,12E1,Fulton,1906.0,117.0,288.0,237.0,2.0,644.0,644.0,33.8
54,12D,Fulton,1408.0,100.0,340.0,137.0,2.0,579.0,579.0,41.1
53,12A1,Fulton,690.0,41.0,300.0,19.0,8.0,368.0,368.0,53.3
52,12A,Fulton,4971.0,282.0,1596.0,731.0,21.0,2630.0,2630.0,52.9
51,06J,Fulton,2770.0,90.0,1065.0,723.0,1.0,1879.0,1879.0,67.8
50,06G,Fulton,588.0,19.0,222.0,123.0,0.0,364.0,364.0,61.9
49,06F,Fulton,2841.0,113.0,1142.0,506.0,4.0,1765.0,1765.0,62.1
48,06D2,Fulton,850.0,23.0,327.0,51.0,1.0,402.0,402.0,47.3
47,06D1,Fulton,2539.0,67.0,998.0,159.0,3.0,1227.0,1227.0,48.3
46,06D,Fulton,6160.0,313.0,2156.0,2001.0,10.0,4480.0,4480.0,72.7
45,06B,Fulton,1889.0,93.0,784.0,378.0,6.0,1261.0,1261.0,66.8
44,05K,Fulton,2826.0,152.0,706.0,274.0,2.0,1134.0,1134.0,40.1
61,12K,Fulton,3620.0,196.0,923.0,334.0,6.0,1459.0,1459.0,40.3
62,12L,Fulton,774.0,51.0,130.0,68.0,2.0,251.0,251.0,32.4
63,12M,Fulton,2990.0,349.0,616.0,296.0,16.0,1277.0,1277.0,42.7
64,12N,Fulton,1134.0,90.0,220.0,80.0,10.0,400.0,400.0,35.3
82,EP02C,Fulton,522.0,17.0,192.0,63.0,0.0,272.0,272.0,52.1
81,EP02B,Fulton,1679.0,87.0,620.0,285.0,1.0,993.0,993.0,59.1
80,EP02A,Fulton,2407.0,157.0,528.0,304.0,19.0,1008.0,1008.0,41.9
79,CP07F,Fulton,266.0,19.0,33.0,6.0,0.0,58.0,58.0,21.8
78,CP07E,Fulton,127.0,19.0,19.0,3.0,0.0,41.0,41.0,32.3
77,CP07D,Fulton,790.0,62.0,119.0,40.0,0.0,221.0,221.0,28.0
76,CP07C,Fulton,323.0,18.0,45.0,9.0,0.0,72.0,72.0,22.3
75,CP07B,Fulton,7.0,2.0,2.0,0.0,0.0,4.0,4.0,57.1
43,05J,Fulton,684.0,35.0,266.0,122.0,0.0,423.0,423.0,61.8
74,CP06A,Fulton,732.0,50.0,125.0,38.0,0.0,213.0,213.0,29.1
72,CP051,Fulton,1756.0,144.0,516.0,241.0,0.0,901.0,901.0,51.3
71,CP04B,Fulton,38.0,2.0,6.0,9.0,0.0,17.0,17.0,44.7
70,CP04A,Fulton,13.0,0.0,3.0,0.0,0.0,3.0,3.0,23.1
69,CP02,Fulton,1208.0,72.0,346.0,163.0,1.0,582.0,582.0,48.2
68,CP01B,Fulton,422.0,20.0,137.0,49.0,1.0,207.0,207.0,49.1
67,CP012,Fulton,1469.0,82.0,526.0,205.0,5.0,818.0,818.0,55.7
66,CP011,Fulton,1353.0,91.0,394.0,153.0,7.0,645.0,645.0,47.7
65,12S,Fulton,2079.0,166.0,557.0,236.0,10.0,969.0,969.0,46.6
73,CP05B,Fulton,153.0,20.0,36.0,8.0,4.0,68.0,68.0,44.4
83,EP02E,Fulton,1668.0,103.0,431.0,159.0,0.0,693.0,693.0,41.5
42,05F,Fulton,248.0,21.0,85.0,25.0,0.0,131.0,131.0,52.8
40,05C,Fulton,135.0,7.0,25.0,7.0,0.0,39.0,39.0,28.9
17,02E,Fulton,2009.0,105.0,904.0,461.0,0.0,1470.0,1470.0,73.2
16,02D,Fulton,5539.0,260.0,1949.0,1056.0,20.0,3285.0,3285.0,59.3
15,02C,Fulton,2034.0,81.0,699.0,374.0,18.0,1172.0,1172.0,57.6
14,02B,Fulton,4020.0,175.0,788.0,285.0,17.0,1265.0,1265.0,31.5
13,01T,Fulton,1799.0,169.0,457.0,178.0,2.0,806.0,806.0,44.8
12,01S,Fulton,2118.0,222.0,457.0,202.0,5.0,886.0,886.0,41.8
11,01R,Fulton,1550.0,202.0,139.0,117.0,9.0,467.0,467.0,30.1
10,01P,Fulton,1444.0,198.0,216.0,164.0,4.0,582.0,582.0,40.3
9,01J,Fulton,2848.0,223.0,708.0,319.0,15.0,1265.0,1265.0,44.4
8,01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0
7,01H,Fulton,896.0,63.0,193.0,117.0,2.0,375.0,375.0,41.9
6,01G,Fulton,2312.0,138.0,740.0,276.0,2.0,1156.0,1156.0,50.0
5,01F,Fulton,1593.0,114.0,248.0,102.0,7.0,471.0,471.0,29.6
4,01E,Fulton,3720.0,116.0,1575.0,752.0,0.0,2443.0,2443.0,65.7
3,01D,Fulton,754.0,25.0,280.0,111.0,8.0,424.0,424.0,56.2
2,01C,Fulton,1908.0,187.0,381.0,159.0,0.0,727.0,727.0,38.1
1,01B,Fulton,4327.0,251.0,1852.0,873.0,6.0,2982.0,2982.0,68.9
18,02F1,Fulton,3221.0,115.0,1291.0,703.0,6.0,2115.0,2115.0,65.7
19,02F2,Fulton,851.0,46.0,267.0,132.0,3.0,448.0,448.0,52.6
20,02G,Fulton,3895.0,205.0,1636.0,739.0,4.0,2584.0,2584.0,66.3
21,02J,Fulton,2273.0,104.0,906.0,422.0,8.0,1440.0,1440.0,63.4
39,05B,Fulton,2171.0,165.0,606.0,255.0,1.0,1027.0,1027.0,47.3
38,05A2,Fulton,3343.0,142.0,1448.0,605.0,6.0,2201.0,2201.0,65.8
37,05A1,Fulton,2936.0,136.0,1272.0,605.0,1.0,2014.0,2014.0,68.6
36,04W,Fulton,3365.0,58.0,129.0,26.0,6.0,219.0,219.0,6.5
35,04V,Fulton,3573.0,354.0,688.0,222.0,3.0,1267.0,1267.0,35.5
34,04T,Fulton,1297.0,129.0,335.0,155.0,18.0,637.0,637.0,49.1
33,04S,Fulton,2541.0,256.0,597.0,290.0,6.0,1149.0,1149.0,45.2
32,04M,Fulton,979.0,100.0,147.0,67.0,2.0,316.0,316.0,32.3
41,05D,Fulton,541.0,20.0,56.0,9.0,1.0,86.0,86.0,15.9
31,04K,Fulton,2736.0,186.0,688.0,331.0,6.0,1211.0,1211.0,44.3
29,04I,Fulton,4604.0,74.0,446.0,171.0,5.0,696.0,696.0,15.1
28,04G,Fulton,1025.0,115.0,185.0,81.0,0.0,381.0,381.0,37.2
27,04F,Fulton,2786.0,189.0,768.0,197.0,10.0,1164.0,1164.0,41.8
26,04B,Fulton,2948.0,117.0,401.0,196.0,0.0,714.0,714.0,24.2
25,03T,Fulton,1742.0,144.0,478.0,125.0,5.0,752.0,752.0,43.2
24,03P2,Fulton,23.0,0.0,7.0,0.0,0.0,7.0,7.0,30.4
23,02S,Fulton,790.0,45.0,282.0,133.0,0.0,460.0,460.0,58.2
22,02K,Fulton,1461.0,45.0,608.0,283.0,0.0,936.0,936.0,64.1
30,04J,Fulton,1617.0,44.0,110.0,18.0,7.0,179.0,179.0,11.1
