,Precinct,County,Registered Voters,Jan Jones (I) (Rep)_Election Day Votes,Jan Jones (I) (Rep)_Advanced Voting Votes,Jan Jones (I) (Rep)_Absentee by Mail Votes,Jan Jones (I) (Rep)_Provisional Votes,Jan Jones (I) (Rep)_Choice Total,Anthia Owens Carter (Dem)_Election Day Votes,Anthia Owens Carter (Dem)_Advanced Voting Votes,Anthia Owens Carter (Dem)_Absentee by Mail Votes,Anthia Owens Carter (Dem)_Provisional Votes,Anthia Owens Carter (Dem)_Choice Total,Total,calc_participation
0,AP04A,Fulton,1760.0,91.0,522.0,238.0,5.0,856.0,35.0,328.0,185.0,0.0,548.0,1404.0,79.8
17,RW12,Fulton,3899.0,307.0,1176.0,609.0,3.0,2095.0,72.0,696.0,660.0,1.0,1429.0,3524.0,90.4
16,RW09A,Fulton,1892.0,135.0,679.0,81.0,6.0,901.0,30.0,294.0,60.0,0.0,384.0,1285.0,67.9
15,RW09,Fulton,4450.0,300.0,1460.0,758.0,1.0,2519.0,62.0,652.0,604.0,1.0,1319.0,3838.0,86.2
14,MP01,Fulton,472.0,127.0,34.0,24.0,5.0,190.0,83.0,36.0,54.0,1.0,174.0,364.0,77.1
13,ML07B,Fulton,1675.0,223.0,514.0,174.0,1.0,912.0,43.0,215.0,130.0,0.0,388.0,1300.0,77.6
12,ML06B,Fulton,3119.0,134.0,540.0,190.0,4.0,868.0,119.0,770.0,393.0,2.0,1284.0,2152.0,69.0
11,ML06A,Fulton,2181.0,108.0,281.0,93.0,3.0,485.0,94.0,560.0,217.0,5.0,876.0,1361.0,62.4
10,ML05,Fulton,4843.0,271.0,1290.0,451.0,11.0,2023.0,115.0,914.0,531.0,2.0,1562.0,3585.0,74.0
9,ML04,Fulton,3322.0,214.0,1118.0,382.0,22.0,1736.0,62.0,528.0,287.0,8.0,885.0,2621.0,78.9
8,ML03A,Fulton,301.0,16.0,131.0,15.0,2.0,164.0,3.0,31.0,7.0,0.0,41.0,205.0,68.1
7,ML03,Fulton,3718.0,268.0,1376.0,460.0,5.0,2109.0,65.0,511.0,288.0,2.0,866.0,2975.0,80.0
6,ML02B,Fulton,1914.0,143.0,699.0,240.0,1.0,1083.0,39.0,260.0,138.0,1.0,438.0,1521.0,79.5
5,ML01B,Fulton,708.0,43.0,243.0,82.0,0.0,368.0,7.0,110.0,56.0,0.0,173.0,541.0,76.4
4,ML01A,Fulton,2795.0,163.0,993.0,254.0,24.0,1434.0,44.0,557.0,225.0,8.0,834.0,2268.0,81.1
3,AP12B,Fulton,947.0,27.0,111.0,79.0,3.0,220.0,51.0,201.0,106.0,2.0,360.0,580.0,61.2
2,AP07B,Fulton,1882.0,84.0,560.0,192.0,12.0,848.0,52.0,382.0,189.0,8.0,631.0,1479.0,78.6
1,AP04B,Fulton,473.0,40.0,157.0,25.0,2.0,224.0,6.0,102.0,49.0,4.0,161.0,385.0,81.4
18,RW12A,Fulton,2458.0,145.0,674.0,91.0,3.0,913.0,63.0,448.0,88.0,2.0,601.0,1514.0,61.6
19,RW19,Fulton,2147.0,132.0,721.0,237.0,1.0,1091.0,37.0,362.0,217.0,0.0,616.0,1707.0,79.5
