County,Registered Voters,Thomas Yarborough (I)_Election Day Votes,Thomas Yarborough (I)_Advanced Voting Votes,Thomas Yarborough (I)_Absentee by Mail Votes,Thomas Yarborough (I)_Provisional Votes,Thomas Yarborough (I)_Choice Total,Total,Richard S. Joslyn (I)_Election Day Votes,Richard S. Joslyn (I)_Advanced Voting Votes,Richard S. Joslyn (I)_Absentee by Mail Votes,Richard S. Joslyn (I)_Provisional Votes,Richard S. Joslyn (I)_Choice Total,calc_participation,Ind_total,Ind_steal
Hancock,5827.0,0.0,0.0,0.0,0.0,0.0,2784.0,632.0,1172.0,979.0,1.0,2784.0,47.8,2784.0,2784.0
Jones,0.0,3271.0,6489.0,2124.0,5.0,11889.0,11889.0,0.0,0.0,0.0,0.0,0.0,0.0,11889.0,0.0
