,Precinct,County,Registered Voters,Karen Handel (Rep)_Election Day Votes,Karen Handel (Rep)_Advanced Voting Votes,Karen Handel (Rep)_Absentee by Mail Votes,Karen Handel (Rep)_Provisional Votes,Karen Handel (Rep)_Choice Total,Lucy McBath (I) (Dem)_Election Day Votes,Lucy McBath (I) (Dem)_Advanced Voting Votes,Lucy McBath (I) (Dem)_Absentee by Mail Votes,Lucy McBath (I) (Dem)_Provisional Votes,Lucy McBath (I) (Dem)_Choice Total,Total,calc_participation
203,Willeo 01,Cobb,2836.0,343.0,526.0,436.0,1.0,1306.0,139.0,333.0,602.0,0.0,1074.0,2380.0,83.9
174,Kell 01,Cobb,2006.0,294.0,323.0,233.0,0.0,850.0,150.0,220.0,346.0,1.0,717.0,1567.0,78.1
173,Hightower 01,Cobb,4262.0,386.0,732.0,806.0,0.0,1924.0,128.0,515.0,975.0,0.0,1618.0,3542.0,83.1
172,Gritters 01,Cobb,4033.0,431.0,666.0,485.0,1.0,1583.0,252.0,497.0,635.0,1.0,1385.0,2968.0,73.6
171,Garrison Mill 01,Cobb,2872.0,321.0,558.0,348.0,1.0,1228.0,153.0,405.0,539.0,0.0,1097.0,2325.0,81.0
170,Fullers Park 01,Cobb,3452.0,336.0,619.0,516.0,0.0,1471.0,163.0,440.0,753.0,0.0,1356.0,2827.0,81.9
169,East Piedmont 01,Cobb,2627.0,46.0,65.0,45.0,0.0,156.0,29.0,38.0,51.0,0.0,118.0,274.0,10.4
168,Elizabeth 05,Cobb,2884.0,330.0,456.0,351.0,0.0,1137.0,162.0,381.0,590.0,1.0,1134.0,2271.0,78.7
167,Elizabeth 04,Cobb,3011.0,248.0,267.0,216.0,0.0,731.0,284.0,480.0,546.0,0.0,1310.0,2041.0,67.8
166,Elizabeth 03,Cobb,2767.0,297.0,448.0,487.0,2.0,1234.0,138.0,377.0,497.0,0.0,1012.0,2246.0,81.2
165,Elizabeth 02,Cobb,2434.0,247.0,378.0,376.0,3.0,1004.0,135.0,318.0,417.0,0.0,870.0,1874.0,77.0
175,Lassiter 01,Cobb,3647.0,425.0,702.0,517.0,0.0,1644.0,154.0,501.0,684.0,2.0,1341.0,2985.0,81.8
164,Eastside 02,Cobb,4074.0,313.0,714.0,770.0,0.0,1797.0,139.0,498.0,921.0,1.0,1559.0,3356.0,82.4
162,Davis 01,Cobb,2093.0,308.0,341.0,221.0,0.0,870.0,159.0,293.0,375.0,1.0,828.0,1698.0,81.1
