County,Registered Voters,Burt Jones (I) (Rep)_Election Day Votes,Burt Jones (I) (Rep)_Advanced Voting Votes,Burt Jones (I) (Rep)_Absentee by Mail Votes,Burt Jones (I) (Rep)_Provisional Votes,Burt Jones (I) (Rep)_Choice Total,Veronica Brinson (Dem)_Election Day Votes,Veronica Brinson (Dem)_Advanced Voting Votes,Veronica Brinson (Dem)_Absentee by Mail Votes,Veronica Brinson (Dem)_Provisional Votes,Veronica Brinson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Baldwin,26721.0,1865.0,5825.0,1377.0,4.0,9071.0,1492.0,4311.0,2832.0,1.0,8636.0,17707.0,66.3,9071.0,8636.0
Bibb,13277.0,739.0,1548.0,652.0,0.0,2939.0,638.0,1655.0,901.0,2.0,3196.0,6135.0,46.2,2939.0,3196.0
Butts,17154.0,836.0,6438.0,1215.0,2.0,8491.0,358.0,1780.0,855.0,1.0,2994.0,11485.0,67.0,8491.0,2994.0
Greene,14171.0,858.0,5118.0,1423.0,3.0,7402.0,544.0,1735.0,1334.0,7.0,3620.0,11022.0,77.8,7402.0,3620.0
Jasper,10432.0,1527.0,3462.0,861.0,12.0,5862.0,292.0,716.0,616.0,1.0,1625.0,7487.0,71.8,5862.0,1625.0
Jones,0.0,1517.0,2431.0,604.0,3.0,4555.0,322.0,718.0,525.0,1.0,1566.0,6121.0,0.0,4555.0,1566.0
Morgan,14824.0,1896.0,5492.0,1007.0,3.0,8398.0,472.0,1630.0,948.0,2.0,3052.0,11450.0,77.2,8398.0,3052.0
Putnam,16003.0,1550.0,4983.0,1827.0,1.0,8361.0,438.0,1400.0,1361.0,0.0,3199.0,11560.0,72.2,8361.0,3199.0
Walton,11604.0,2108.0,3293.0,846.0,4.0,6251.0,309.0,621.0,495.0,2.0,1427.0,7678.0,66.2,6251.0,1427.0
