County,Registered Voters,Randy Nix (I) (Rep)_Election Day Votes,Randy Nix (I) (Rep)_Advanced Voting Votes,Randy Nix (I) (Rep)_Absentee by Mail Votes,Randy Nix (I) (Rep)_Provisional Votes,Randy Nix (I) (Rep)_Choice Total,Herbert Giles (Dem)_Election Day Votes,Herbert Giles (Dem)_Advanced Voting Votes,Herbert Giles (Dem)_Absentee by Mail Votes,Herbert Giles (Dem)_Provisional Votes,Herbert Giles (Dem)_Choice Total,Total,calc_participation
Carroll,21425.0,3505.0,6120.0,1494.0,3.0,11122.0,663.0,1490.0,891.0,0.0,3044.0,14166.0,66.1
Heard,7762.0,1618.0,2158.0,688.0,1.0,4465.0,160.0,306.0,279.0,0.0,745.0,5210.0,67.1
Troup,16305.0,1331.0,3094.0,842.0,2.0,5269.0,307.0,731.0,458.0,1.0,1497.0,6766.0,41.5
