,Precinct,County,Registered Voters,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_Choice Total,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_Choice Total,Total,calc_participation
130,Blakeney,Burke,681.0,34.0,120.0,11.0,0.0,165.0,71.0,87.0,70.0,0.0,228.0,393.0,57.7
115,Alexander,Burke,389.0,85.0,61.0,16.0,0.0,162.0,24.0,15.0,65.0,0.0,104.0,266.0,68.4
116,Four Points,Burke,2558.0,458.0,496.0,144.0,0.0,1098.0,115.0,222.0,147.0,0.0,484.0,1582.0,61.8
117,Girard,Burke,733.0,110.0,82.0,41.0,0.0,233.0,96.0,55.0,82.0,0.0,233.0,466.0,63.6
118,Gough,Burke,434.0,43.0,59.0,17.0,0.0,119.0,47.0,38.0,93.0,0.0,178.0,297.0,68.4
119,Greenscut,Burke,1036.0,143.0,223.0,45.0,0.0,411.0,83.0,94.0,84.0,0.0,261.0,672.0,64.9
120,Keysville,Burke,476.0,63.0,42.0,14.0,0.0,119.0,98.0,11.0,32.0,0.0,141.0,260.0,54.6
121,Midville,Burke,492.0,91.0,20.0,12.0,0.0,123.0,87.0,25.0,63.0,0.0,175.0,298.0,60.6
129,South Waynesboro,Burke,3290.0,224.0,924.0,171.0,0.0,1319.0,215.0,442.0,304.0,0.0,961.0,2280.0,69.3
123,Sardis,Burke,1049.0,208.0,121.0,60.0,0.0,389.0,124.0,76.0,48.0,0.0,248.0,637.0,60.7
124,Scotts Crossroads,Burke,294.0,39.0,18.0,5.0,0.0,62.0,36.0,40.0,45.0,0.0,121.0,183.0,62.2
125,Telfair,Burke,1121.0,150.0,177.0,56.0,0.0,383.0,67.0,120.0,113.0,0.0,300.0,683.0,60.9
126,St Clair,Burke,442.0,70.0,82.0,24.0,0.0,176.0,36.0,37.0,59.0,0.0,132.0,308.0,69.7
127,Vidette,Burke,313.0,69.0,22.0,13.0,0.0,104.0,42.0,18.0,41.0,0.0,101.0,205.0,65.5
128,North Waynesboro,Burke,2949.0,84.0,340.0,80.0,0.0,504.0,273.0,484.0,486.0,0.0,1243.0,1747.0,59.2
