County,Registered Voters,Houston Gaines (I) (Rep)_Election Day Votes,Houston Gaines (I) (Rep)_Advanced Voting Votes,Houston Gaines (I) (Rep)_Absentee by Mail Votes,Houston Gaines (I) (Rep)_Provisional Votes,Houston Gaines (I) (Rep)_Choice Total,"""""Mokah"""" Jasmine Johnson (Dem)_Election Day Votes","""""Mokah"""" Jasmine Johnson (Dem)_Advanced Voting Votes","""""Mokah"""" Jasmine Johnson (Dem)_Absentee by Mail Votes","""""Mokah"""" Jasmine Johnson (Dem)_Provisional Votes","""""Mokah"""" Jasmine Johnson (Dem)_Choice Total",Total,calc_participation
Barrow,15345.0,556.0,1393.0,294.0,0.0,2243.0,127.0,422.0,265.0,0.0,814.0,3057.0,19.9
Clarke,25643.0,1259.0,3185.0,2088.0,3.0,6535.0,1253.0,4112.0,3792.0,9.0,9166.0,15701.0,61.2
Jackson,8012.0,591.0,1611.0,502.0,1.0,2705.0,146.0,403.0,336.0,0.0,885.0,3590.0,44.8
Oconee,9122.0,741.0,3492.0,1147.0,0.0,5380.0,181.0,1062.0,832.0,0.0,2075.0,7455.0,81.7
