County,Registered Voters,Philip Singleton (I) (Rep)_Election Day Votes,Philip Singleton (I) (Rep)_Advanced Voting Votes,Philip Singleton (I) (Rep)_Absentee by Mail Votes,Philip Singleton (I) (Rep)_Provisional Votes,Philip Singleton (I) (Rep)_Choice Total,Jill Prouty (Dem)_Election Day Votes,Jill Prouty (Dem)_Advanced Voting Votes,Jill Prouty (Dem)_Absentee by Mail Votes,Jill Prouty (Dem)_Provisional Votes,Jill Prouty (Dem)_Choice Total,Total,Jill_Election Day Votes,Jill_Advanced Voting Votes,Jill_Absentee by Mail Votes,Jill_Provisional Votes,Jill_Choice Total,calc_participation
Coweta,58482.0,7622.0,11861.0,4154.0,2.0,23639.0,0.0,0.0,0.0,0.0,0.0,31622.0,1507.0,3460.0,3010.0,6.0,7983.0,54.1
Fayette,8359.0,260.0,1286.0,345.0,0.0,1891.0,167.0,931.0,481.0,2.0,1581.0,3472.0,0.0,0.0,0.0,0.0,0.0,41.5
