County,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,calc_participation
Bibb,2617.0,690.0,621.0,260.0,3.0,1574.0,1574.0,60.1
Crawford,8512.0,1315.0,3114.0,805.0,2.0,5236.0,5236.0,61.5
Houston,29123.0,1240.0,1914.0,1264.0,0.0,4418.0,4418.0,15.2
Monroe,6278.0,634.0,1357.0,368.0,1.0,2360.0,2360.0,37.6
Peach,9937.0,897.0,4326.0,873.0,9.0,6105.0,6105.0,61.4
