County,Registered Voters,Taryn Chilivis Bowman (Rep)_Election Day Votes,Taryn Chilivis Bowman (Rep)_Advanced Voting Votes,Taryn Chilivis Bowman (Rep)_Absentee by Mail Votes,Taryn Chilivis Bowman (Rep)_Provisional Votes,Taryn Chilivis Bowman (Rep)_Choice Total,Erick Eugene Allen (I) (Dem)_Election Day Votes,Erick Eugene Allen (I) (Dem)_Advanced Voting Votes,Erick Eugene Allen (I) (Dem)_Absentee by Mail Votes,Erick Eugene Allen (I) (Dem)_Provisional Votes,Erick Eugene Allen (I) (Dem)_Choice Total,Total,calc_participation
Cobb,66161.0,2769.0,5726.0,5131.0,7.0,13633.0,2192.0,8529.0,8824.0,8.0,19553.0,33186.0,50.2
Fulton,3084.0,160.0,719.0,258.0,3.0,1140.0,95.0,719.0,343.0,6.0,1163.0,2303.0,74.7
