County,Registered Voters,Jan Tankersley (I) (Rep)_Election Day Votes,Jan Tankersley (I) (Rep)_Advanced Voting Votes,Jan Tankersley (I) (Rep)_Absentee by Mail Votes,Jan Tankersley (I) (Rep)_Provisional Votes,Jan Tankersley (I) (Rep)_Choice Total,Total,calc_participation
Bryan,7989.0,1094.0,2715.0,512.0,2.0,4323.0,4323.0,54.1
Bulloch,34543.0,5192.0,7165.0,2416.0,9.0,14782.0,14782.0,42.8
