,Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
1453,3A1,Appling,793.0,232.0,291.0,64.0,0.0,587.0,5.0,6.0,9.0,0.0,20.0,0.0,2.0,2.0,0.0,4.0,611.0,77.0
1450,1B,Appling,1309.0,253.0,493.0,123.0,1.0,870.0,23.0,48.0,45.0,0.0,116.0,0.0,5.0,2.0,0.0,7.0,993.0,75.9
1451,1C,Appling,848.0,178.0,349.0,65.0,2.0,594.0,16.0,18.0,10.0,0.0,44.0,1.0,1.0,0.0,0.0,2.0,640.0,75.5
1452,2,Appling,2251.0,145.0,305.0,81.0,0.0,531.0,159.0,456.0,291.0,2.0,908.0,3.0,6.0,0.0,0.0,9.0,1448.0,64.3
1458,5B,Appling,1126.0,203.0,405.0,98.0,3.0,709.0,36.0,59.0,37.0,0.0,132.0,0.0,2.0,0.0,0.0,2.0,843.0,74.9
1457,5A,Appling,1147.0,142.0,453.0,100.0,2.0,697.0,18.0,60.0,39.0,1.0,118.0,0.0,5.0,0.0,0.0,5.0,820.0,71.5
1456,4D,Appling,1493.0,240.0,649.0,158.0,1.0,1048.0,20.0,70.0,40.0,0.0,130.0,0.0,1.0,0.0,0.0,1.0,1179.0,79.0
1455,4B,Appling,866.0,253.0,321.0,73.0,0.0,647.0,3.0,10.0,10.0,0.0,23.0,0.0,2.0,0.0,0.0,2.0,672.0,77.6
1454,3C,Appling,1566.0,107.0,608.0,128.0,0.0,843.0,54.0,128.0,106.0,0.0,288.0,1.0,2.0,1.0,0.0,4.0,1135.0,72.5
2230,Pearson County,Atkinson,1802.0,235.0,716.0,75.0,0.0,1026.0,32.0,92.0,36.0,0.0,160.0,5.0,4.0,2.0,0.0,11.0,1197.0,66.4
2233,Pearson City,Atkinson,944.0,63.0,147.0,19.0,0.0,229.0,76.0,201.0,52.0,0.0,329.0,4.0,2.0,0.0,0.0,6.0,564.0,59.7
2232,Willacoochee,Atkinson,1311.0,224.0,299.0,43.0,0.0,566.0,117.0,136.0,38.0,0.0,291.0,4.0,5.0,1.0,0.0,10.0,867.0,66.1
2231,Axson,Atkinson,742.0,194.0,257.0,27.0,1.0,479.0,25.0,16.0,4.0,0.0,45.0,1.0,2.0,0.0,0.0,3.0,527.0,71.0
2123,Douglas,Bacon,6720.0,431.0,3099.0,487.0,1.0,4018.0,140.0,288.0,196.0,1.0,625.0,8.0,13.0,4.0,0.0,25.0,4668.0,69.5
