County,Registered Voters,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_Choice Total,Total,calc_participation,Ind_total
Lee,22897.0,3487.0,8803.0,1873.0,6.0,14169.0,14169.0,61.9,14169.0
Macon,6991.0,735.0,1711.0,564.0,0.0,3010.0,3010.0,43.1,3010.0
Schley,2882.0,310.0,1210.0,221.0,1.0,1742.0,1742.0,60.4,1742.0
Stewart,2893.0,352.0,646.0,264.0,7.0,1269.0,1269.0,43.9,1269.0
Sumter,17800.0,2111.0,5329.0,2130.0,14.0,9584.0,9584.0,53.8,9584.0
Webster,1705.0,221.0,544.0,244.0,0.0,1009.0,1009.0,59.2,1009.0
