County,Registered Voters,Gregory Johnson_Election Day Votes,Gregory Johnson_Advanced Voting Votes,Gregory Johnson_Absentee by Mail Votes,Gregory Johnson_Provisional Votes,Gregory Johnson_Choice Total,"Doug P. Roper, III_Election Day Votes","Doug P. Roper, III_Advanced Voting Votes","Doug P. Roper, III_Absentee by Mail Votes","Doug P. Roper, III_Provisional Votes","Doug P. Roper, III_Choice Total",Total,calc_participation
Montgomery,1340.0,2.0,8.0,8.0,0.0,18.0,19.0,50.0,8.0,0.0,77.0,95.0,7.1
Toombs,0.0,407.0,918.0,666.0,3.0,1994.0,385.0,1406.0,467.0,2.0,2260.0,4254.0,0.0
