County,Registered Voters,William Park Freeman (Rep)_Election Day Votes,William Park Freeman (Rep)_Advanced Voting Votes,William Park Freeman (Rep)_Absentee by Mail Votes,William Park Freeman (Rep)_Provisional Votes,William Park Freeman (Rep)_Choice Total,Kim Jackson (Dem)_Election Day Votes,Kim Jackson (Dem)_Advanced Voting Votes,Kim Jackson (Dem)_Absentee by Mail Votes,Kim Jackson (Dem)_Provisional Votes,Kim Jackson (Dem)_Choice Total,Total,calc_participation
DeKalb,99401.0,2110.0,4379.0,3128.0,36.0,9653.0,6762.0,23766.0,15697.0,187.0,46412.0,56065.0,56.4
Gwinnett,30332.0,1291.0,2383.0,1496.0,5.0,5175.0,2242.0,5733.0,3757.0,10.0,11742.0,16917.0,55.8
