County,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Bacon,6720.0,418.0,3000.0,491.0,1.0,3910.0,126.0,255.0,172.0,1.0,554.0,4464.0,66.4,3910.0,554.0
Brantley,11888.0,1903.0,4152.0,687.0,7.0,6749.0,143.0,325.0,193.0,1.0,662.0,7411.0,62.3,6749.0,662.0
Bryan,30608.0,2635.0,10342.0,1786.0,4.0,14767.0,796.0,3433.0,1903.0,3.0,6135.0,20902.0,68.3,14767.0,6135.0
Camden,34950.0,3561.0,9409.0,2247.0,3.0,15220.0,1188.0,3889.0,2635.0,3.0,7715.0,22935.0,65.6,15220.0,7715.0
Charlton,6552.0,1091.0,1863.0,403.0,2.0,3359.0,208.0,505.0,273.0,0.0,986.0,4345.0,66.3,3359.0,986.0
Chatham,200388.0,19345.0,23905.0,13589.0,96.0,56935.0,16965.0,29634.0,26957.0,182.0,73738.0,130673.0,65.2,56935.0,73738.0
Clinch,4345.0,607.0,1233.0,219.0,1.0,2060.0,187.0,290.0,131.0,0.0,608.0,2668.0,61.4,2060.0,608.0
Echols,2156.0,209.0,900.0,120.0,0.0,1229.0,31.0,88.0,30.0,0.0,149.0,1378.0,63.9,1229.0,149.0
Effingham,29574.0,4883.0,7945.0,1692.0,9.0,14529.0,1000.0,2168.0,1425.0,4.0,4597.0,19126.0,64.7,14529.0,4597.0
Glynn,61952.0,4768.0,16717.0,4683.0,31.0,26199.0,2020.0,7420.0,5292.0,21.0,14753.0,40952.0,66.1,26199.0,14753.0
Liberty,35582.0,1725.0,5084.0,1430.0,2.0,8241.0,1645.0,6901.0,4139.0,4.0,12689.0,20930.0,58.8,8241.0,12689.0
Long,10470.0,1131.0,2110.0,304.0,9.0,3554.0,353.0,1096.0,480.0,7.0,1936.0,5490.0,52.4,3554.0,1936.0
Lowndes,14188.0,326.0,649.0,153.0,5.0,1133.0,119.0,381.0,215.0,6.0,721.0,1854.0,13.1,1133.0,721.0
McIntosh,9292.0,829.0,2387.0,867.0,1.0,4084.0,409.0,1206.0,795.0,0.0,2410.0,6494.0,69.9,4084.0,2410.0
Pierce,12717.0,1186.0,5638.0,944.0,0.0,7768.0,119.0,582.0,319.0,0.0,1020.0,8788.0,69.1,7768.0,1020.0
Ware,21994.0,2521.0,5836.0,1407.0,19.0,9783.0,543.0,1957.0,1489.0,26.0,4015.0,13798.0,62.7,9783.0,4015.0
Wayne,18104.0,2444.0,6108.0,1377.0,8.0,9937.0,453.0,1393.0,703.0,1.0,2550.0,12487.0,69.0,9937.0,2550.0
