County,Registered Voters,Mark Crenshaw (Rep)_Election Day Votes,Mark Crenshaw (Rep)_Advanced Voting Votes,Mark Crenshaw (Rep)_Absentee by Mail Votes,Mark Crenshaw (Rep)_Provisional Votes,Mark Crenshaw (Rep)_Choice Total,Total,Bennie Calloway (I) (Dem)_Election Day Votes,Bennie Calloway (I) (Dem)_Advanced Voting Votes,Bennie Calloway (I) (Dem)_Absentee by Mail Votes,Bennie Calloway (I) (Dem)_Provisional Votes,Bennie Calloway (I) (Dem)_Choice Total,calc_participation
Ben Hill,9854.0,0.0,0.0,0.0,0.0,0.0,2328.0,326.0,1426.0,576.0,0.0,2328.0,23.6
Crisp,12554.0,1045.0,3491.0,967.0,4.0,5507.0,5507.0,0.0,0.0,0.0,0.0,0.0,43.9
