County,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total,calc_participation
Forsyth,124346.0,6226.0,41106.0,11577.0,18.0,58927.0,2369.0,17306.0,11905.0,16.0,31596.0,90523.0,72.8
Gwinnett,409068.0,26509.0,63839.0,31132.0,157.0,121637.0,24977.0,79978.0,54100.0,249.0,159304.0,280941.0,68.7
