County,Registered Voters,Marshall Fontaine (Rep)_Election Day Votes,Marshall Fontaine (Rep)_Advanced Voting Votes,Marshall Fontaine (Rep)_Absentee by Mail Votes,Marshall Fontaine (Rep)_Provisional Votes,Marshall Fontaine (Rep)_Choice Total,Clifton Holloman (Dem)_Election Day Votes,Clifton Holloman (Dem)_Advanced Voting Votes,Clifton Holloman (Dem)_Absentee by Mail Votes,Clifton Holloman (Dem)_Provisional Votes,Clifton Holloman (Dem)_Choice Total,Total,Steven Taylor (I) (Rep)_Election Day Votes,Steven Taylor (I) (Rep)_Advanced Voting Votes,Steven Taylor (I) (Rep)_Absentee by Mail Votes,Steven Taylor (I) (Rep)_Provisional Votes,Steven Taylor (I) (Rep)_Choice Total,Bill McClellan (Rep)_Election Day Votes,Bill McClellan (Rep)_Advanced Voting Votes,Bill McClellan (Rep)_Absentee by Mail Votes,Bill McClellan (Rep)_Provisional Votes,Bill McClellan (Rep)_Choice Total,Cliff Bradshaw (I) (Rep)_Election Day Votes,Cliff Bradshaw (I) (Rep)_Advanced Voting Votes,Cliff Bradshaw (I) (Rep)_Absentee by Mail Votes,Cliff Bradshaw (I) (Rep)_Provisional Votes,Cliff Bradshaw (I) (Rep)_Choice Total,calc_participation,Rep_total,Rep_steal,Dem_total
Ben Hill,9854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5386.0,647.0,3841.0,898.0,0.0,5386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,5386.0,5386.0,0.0
Marion,4913.0,749.0,1254.0,349.0,0.0,2352.0,229.0,575.0,413.0,0.0,1217.0,3569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,2352.0,2352.0,1217.0
Schley,2882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,0.0,0.0,0.0,0.0,347.0,1406.0,238.0,1.0,1992.0,0.0,0.0,0.0,0.0,0.0,69.1,1992.0,1992.0,0.0
Towns,10693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.0,4432.0,1546.0,6.0,7017.0,65.6,7017.0,0.0,0.0
