County,Registered Voters,Matt Dollar (I) (Rep)_Election Day Votes,Matt Dollar (I) (Rep)_Advanced Voting Votes,Matt Dollar (I) (Rep)_Absentee by Mail Votes,Matt Dollar (I) (Rep)_Provisional Votes,Matt Dollar (I) (Rep)_Choice Total,Sara Tindall Ghazal (Dem)_Election Day Votes,Sara Tindall Ghazal (Dem)_Advanced Voting Votes,Sara Tindall Ghazal (Dem)_Absentee by Mail Votes,Sara Tindall Ghazal (Dem)_Provisional Votes,Sara Tindall Ghazal (Dem)_Choice Total,Total,calc_participation
Cobb,41999.0,3891.0,7348.0,7024.0,9.0,18272.0,1225.0,4427.0,7902.0,4.0,13558.0,31830.0,75.8
Fulton,6133.0,182.0,755.0,334.0,6.0,1277.0,248.0,1454.0,735.0,11.0,2448.0,3725.0,60.7
