County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,calc_participation,Rep_total,Dem_total,Lib_total
Appling,11399.0,1606.0,3610.0,828.0,9.0,6053.0,307.0,767.0,526.0,2.0,1602.0,47.0,88.0,26.0,0.0,161.0,7816.0,68.6,6053.0,1602.0,161.0
Atkinson,4799.0,656.0,1284.0,156.0,1.0,2097.0,198.0,375.0,126.0,0.0,699.0,23.0,37.0,1.0,0.0,61.0,2857.0,59.5,2097.0,699.0,61.0
Bacon,6720.0,391.0,2886.0,458.0,1.0,3736.0,113.0,251.0,172.0,1.0,537.0,25.0,46.0,7.0,0.0,78.0,4351.0,64.7,3736.0,537.0,78.0
Baker,2258.0,264.0,435.0,125.0,1.0,825.0,138.0,252.0,228.0,0.0,618.0,9.0,11.0,4.0,0.0,24.0,1467.0,65.0,825.0,618.0,24.0
Baldwin,26721.0,1775.0,5576.0,1291.0,4.0,8646.0,1439.0,4227.0,2799.0,1.0,8466.0,140.0,251.0,77.0,0.0,468.0,17580.0,65.8,8646.0,8466.0,468.0
Banks,12898.0,1548.0,4868.0,994.0,11.0,7421.0,134.0,392.0,311.0,3.0,840.0,60.0,133.0,34.0,0.0,227.0,8488.0,65.8,7421.0,840.0,227.0
Barrow,55605.0,5547.0,16208.0,4005.0,3.0,25763.0,1511.0,4623.0,3217.0,3.0,9354.0,491.0,752.0,294.0,0.0,1537.0,36654.0,65.9,25763.0,9354.0,1537.0
Bartow,74409.0,9611.0,20737.0,5801.0,18.0,36167.0,1983.0,4959.0,4025.0,7.0,10974.0,605.0,800.0,350.0,3.0,1758.0,48899.0,65.7,36167.0,10974.0,1758.0
Ben Hill,9854.0,416.0,3017.0,510.0,0.0,3943.0,303.0,1240.0,661.0,0.0,2204.0,43.0,90.0,31.0,0.0,164.0,6311.0,64.0,3943.0,2204.0,164.0
Berrien,11275.0,1744.0,3658.0,725.0,9.0,6136.0,304.0,505.0,316.0,0.0,1125.0,54.0,78.0,26.0,0.0,158.0,7419.0,65.8,6136.0,1125.0,158.0
Bibb,107979.0,7697.0,13068.0,5467.0,38.0,26270.0,8133.0,19171.0,13229.0,117.0,40650.0,633.0,712.0,367.0,6.0,1718.0,68638.0,63.6,26270.0,40650.0,1718.0
Bleckley,0.0,913.0,2687.0,593.0,1.0,4194.0,273.0,540.0,392.0,0.0,1205.0,31.0,66.0,16.0,0.0,113.0,5512.0,0.0,4194.0,1205.0,113.0
Brantley,11888.0,1801.0,4001.0,628.0,8.0,6438.0,147.0,314.0,187.0,0.0,648.0,61.0,91.0,32.0,0.0,184.0,7270.0,61.2,6438.0,648.0,184.0
Brooks,11154.0,1318.0,2206.0,499.0,2.0,4025.0,494.0,1055.0,1042.0,2.0,2593.0,47.0,66.0,22.0,0.0,135.0,6753.0,60.5,4025.0,2593.0,135.0
Bryan,30608.0,2475.0,9820.0,1614.0,4.0,13913.0,721.0,3366.0,1832.0,3.0,5922.0,198.0,409.0,153.0,0.0,760.0,20595.0,67.3,13913.0,5922.0,760.0
Bulloch,44738.0,6419.0,8868.0,2828.0,23.0,18138.0,2159.0,4724.0,3175.0,30.0,10088.0,351.0,378.0,165.0,1.0,895.0,29121.0,65.1,18138.0,10088.0,895.0
Burke,16556.0,1828.0,2710.0,628.0,0.0,5166.0,1385.0,1730.0,1755.0,0.0,4870.0,84.0,85.0,38.0,0.0,207.0,10243.0,61.9,5166.0,4870.0,207.0
Butts,17154.0,791.0,6194.0,1072.0,1.0,8058.0,343.0,1771.0,890.0,1.0,3005.0,42.0,186.0,68.0,1.0,297.0,11360.0,66.2,8058.0,3005.0,297.0
Calhoun,3184.0,263.0,481.0,148.0,0.0,892.0,338.0,431.0,414.0,0.0,1183.0,8.0,8.0,2.0,0.0,18.0,2093.0,65.7,892.0,1183.0,18.0
Camden,34950.0,3372.0,9091.0,2099.0,2.0,14564.0,1033.0,3636.0,2487.0,4.0,7160.0,339.0,512.0,177.0,0.0,1028.0,22752.0,65.1,14564.0,7160.0,1028.0
Candler,6300.0,418.0,2241.0,364.0,0.0,3023.0,175.0,620.0,356.0,1.0,1152.0,21.0,49.0,8.0,0.0,78.0,4253.0,67.5,3023.0,1152.0,78.0
Carroll,83847.0,10611.0,21011.0,4580.0,26.0,36228.0,2690.0,7870.0,4213.0,14.0,14787.0,632.0,889.0,313.0,3.0,1837.0,52852.0,63.0,36228.0,14787.0,1837.0
Catoosa,45715.0,4820.0,16283.0,2847.0,14.0,23964.0,863.0,3386.0,1882.0,6.0,6137.0,385.0,627.0,152.0,2.0,1166.0,31267.0,68.4,23964.0,6137.0,1166.0
Charlton,6552.0,1026.0,1781.0,363.0,1.0,3171.0,216.0,495.0,275.0,0.0,986.0,38.0,54.0,10.0,0.0,102.0,4259.0,65.0,3171.0,986.0,102.0
Chatham,200388.0,17877.0,22641.0,12180.0,89.0,52787.0,16315.0,29003.0,26424.0,165.0,71907.0,1701.0,1421.0,1018.0,19.0,4159.0,128853.0,64.3,52787.0,71907.0,4159.0
