County,Registered Voters,"Noel Williams, Jr. (I) (Rep)_Election Day Votes","Noel Williams, Jr. (I) (Rep)_Advanced Voting Votes","Noel Williams, Jr. (I) (Rep)_Absentee by Mail Votes","Noel Williams, Jr. (I) (Rep)_Provisional Votes","Noel Williams, Jr. (I) (Rep)_Choice Total",Regina Awung (Dem)_Election Day Votes,Regina Awung (Dem)_Advanced Voting Votes,Regina Awung (Dem)_Absentee by Mail Votes,Regina Awung (Dem)_Provisional Votes,Regina Awung (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Crisp,12554.0,1052.0,3434.0,919.0,3.0,5408.0,475.0,1241.0,719.0,1.0,2436.0,7844.0,62.5,5408.0,2436.0
Houston,23274.0,1827.0,2393.0,634.0,3.0,4857.0,500.0,835.0,676.0,4.0,2015.0,6872.0,29.5,4857.0,2015.0
Pulaski,5687.0,326.0,2145.0,324.0,1.0,2796.0,153.0,620.0,298.0,0.0,1071.0,3867.0,68.0,2796.0,1071.0
Wilcox,4661.0,728.0,1308.0,346.0,0.0,2382.0,268.0,333.0,199.0,0.0,800.0,3182.0,68.3,2382.0,800.0
