,Precinct,County,Registered Voters,Katie Dempsey (I) (Rep)_Election Day Votes,Katie Dempsey (I) (Rep)_Advanced Voting Votes,Katie Dempsey (I) (Rep)_Absentee by Mail Votes,Katie Dempsey (I) (Rep)_Provisional Votes,Katie Dempsey (I) (Rep)_Choice Total,Total,calc_participation
0,Alto Park,Floyd,3360.0,388.0,1305.0,410.0,9.0,2112.0,2112.0,62.9
1,Glenwood,Floyd,3635.0,573.0,1198.0,355.0,1.0,2127.0,2127.0,58.5
2,East Lindale,Floyd,3398.0,498.0,1258.0,363.0,2.0,2121.0,2121.0,62.4
3,Mt Alto North,Floyd,5096.0,201.0,639.0,213.0,8.0,1061.0,1061.0,20.8
4,Mt Alto South,Floyd,3923.0,456.0,1195.0,391.0,5.0,2047.0,2047.0,52.2
5,Riverside,Floyd,826.0,173.0,248.0,57.0,4.0,482.0,482.0,58.4
6,East Rome,Floyd,4238.0,386.0,1173.0,417.0,4.0,1980.0,1980.0,46.7
7,North Rome,Floyd,3369.0,229.0,754.0,421.0,3.0,1407.0,1407.0,41.8
8,South Rome,Floyd,1600.0,115.0,271.0,131.0,3.0,520.0,520.0,32.5
9,Vanns Valley,Floyd,896.0,167.0,223.0,100.0,4.0,494.0,494.0,55.1
10,West Lindale,Floyd,2929.0,540.0,935.0,246.0,0.0,1721.0,1721.0,58.8
11,Town Rome,Floyd,3034.0,241.0,799.0,309.0,0.0,1349.0,1349.0,44.5
