County,Registered Voters,Dave Belton (I) (Rep)_Election Day Votes,Dave Belton (I) (Rep)_Advanced Voting Votes,Dave Belton (I) (Rep)_Absentee by Mail Votes,Dave Belton (I) (Rep)_Provisional Votes,Dave Belton (I) (Rep)_Choice Total,Total,calc_participation
Morgan,14824.0,2183.0,6280.0,1366.0,3.0,9832.0,9832.0,66.3
Newton,29137.0,7727.0,5035.0,3493.0,6.0,16261.0,16261.0,55.8
