County,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Fayette,62102.0,5334.0,20594.0,6211.0,38.0,32177.0,1632.0,8898.0,5250.0,19.0,15799.0,47976.0,77.3,32177.0,15799.0
Lamar,12839.0,1750.0,3773.0,838.0,7.0,6368.0,446.0,1101.0,863.0,2.0,2412.0,8780.0,68.4,6368.0,2412.0
Pike,0.0,2325.0,5809.0,938.0,3.0,9075.0,253.0,627.0,479.0,1.0,1360.0,10435.0,0.0,9075.0,1360.0
Spalding,45985.0,5203.0,8701.0,3570.0,532.0,18006.0,2461.0,4337.0,3942.0,332.0,11072.0,29078.0,63.2,18006.0,11072.0
