County,Registered Voters,Bill Hitchens (I) (Rep)_Election Day Votes,Bill Hitchens (I) (Rep)_Advanced Voting Votes,Bill Hitchens (I) (Rep)_Absentee by Mail Votes,Bill Hitchens (I) (Rep)_Provisional Votes,Bill Hitchens (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Chatham,26477.0,3233.0,6093.0,3065.0,21.0,12412.0,12412.0,46.9,12412.0
Effingham,26569.0,4980.0,8368.0,2071.0,9.0,15428.0,15428.0,58.1,15428.0
