County,Registered Voters,Timothy Barr (I) (Rep)_Election Day Votes,Timothy Barr (I) (Rep)_Advanced Voting Votes,Timothy Barr (I) (Rep)_Absentee by Mail Votes,Timothy Barr (I) (Rep)_Provisional Votes,Timothy Barr (I) (Rep)_Choice Total,Clifton_Election Day Votes,Clifton_Advanced Voting Votes,Clifton_Absentee by Mail Votes,Clifton_Provisional Votes,Clifton_Choice Total,Total,calc_participation,Rep_total
Gwinnett,31257.0,2256.0,7159.0,2516.0,3.0,11934.0,1071.0,4150.0,2851.0,0.0,8072.0,20006.0,64.0,11934.0
Hall,0.0,1782.0,8202.0,2280.0,6.0,12270.0,378.0,1764.0,1437.0,1.0,3580.0,15850.0,0.0,12270.0
