County,Registered Voters,Sandra Givens Scott (I) (Dem)_Election Day Votes,Sandra Givens Scott (I) (Dem)_Advanced Voting Votes,Sandra Givens Scott (I) (Dem)_Absentee by Mail Votes,Sandra Givens Scott (I) (Dem)_Provisional Votes,Sandra Givens Scott (I) (Dem)_Choice Total,Total,calc_participation
Clayton,29153.0,2523.0,8984.0,4397.0,29.0,15933.0,15933.0,54.7
Henry,15657.0,830.0,5499.0,2269.0,2.0,8600.0,8600.0,54.9
