County,Registered Voters,Benjamin Brooks (Rep)_Election Day Votes,Benjamin Brooks (Rep)_Advanced Voting Votes,Benjamin Brooks (Rep)_Absentee by Mail Votes,Benjamin Brooks (Rep)_Provisional Votes,Benjamin Brooks (Rep)_Choice Total,Gail Davenport (I) (Dem)_Election Day Votes,Gail Davenport (I) (Dem)_Advanced Voting Votes,Gail Davenport (I) (Dem)_Absentee by Mail Votes,Gail Davenport (I) (Dem)_Provisional Votes,Gail Davenport (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Clayton,95985.0,1684.0,4891.0,2364.0,14.0,8953.0,7629.0,28261.0,14350.0,123.0,50363.0,59316.0,61.8,8953.0,50363.0
DeKalb,50187.0,346.0,693.0,405.0,8.0,1452.0,3136.0,14708.0,9318.0,68.0,27230.0,28682.0,57.2,1452.0,27230.0
