,Precinct,County,Registered Voters,Rhonda Burnough (I) (Dem)_Election Day Votes,Rhonda Burnough (I) (Dem)_Advanced Voting Votes,Rhonda Burnough (I) (Dem)_Absentee by Mail Votes,Rhonda Burnough (I) (Dem)_Provisional Votes,Rhonda Burnough (I) (Dem)_Choice Total,Total,calc_participation
0,Jonesboro 2,Clayton,4345.0,394.0,1287.0,755.0,8.0,2444.0,2444.0,56.2
1,Jonesboro 9,Clayton,1759.0,161.0,333.0,196.0,3.0,693.0,693.0,39.4
2,Jonesboro 12,Clayton,3067.0,325.0,861.0,428.0,9.0,1623.0,1623.0,52.9
3,Jonesboro 15,Clayton,2872.0,256.0,690.0,262.0,4.0,1212.0,1212.0,42.2
4,Jonesboro 16,Clayton,2560.0,320.0,558.0,346.0,4.0,1228.0,1228.0,48.0
5,Riverdale 2,Clayton,3431.0,324.0,920.0,555.0,24.0,1823.0,1823.0,53.1
6,Riverdale 4,Clayton,4362.0,450.0,999.0,654.0,6.0,2109.0,2109.0,48.3
7,Riverdale 5,Clayton,2970.0,325.0,836.0,433.0,6.0,1600.0,1600.0,53.9
8,Riverdale 6,Clayton,3661.0,374.0,689.0,404.0,9.0,1476.0,1476.0,40.3
9,Riverdale 7,Clayton,3020.0,319.0,549.0,338.0,11.0,1217.0,1217.0,40.3
10,Riverdale 9,Clayton,2653.0,287.0,744.0,390.0,4.0,1425.0,1425.0,53.7
11,Riverdale 12,Clayton,3065.0,313.0,917.0,534.0,2.0,1766.0,1766.0,57.6
