County,Registered Voters,Tracy Taylor (Rep)_Election Day Votes,Tracy Taylor (Rep)_Advanced Voting Votes,Tracy Taylor (Rep)_Absentee by Mail Votes,Tracy Taylor (Rep)_Provisional Votes,Tracy Taylor (Rep)_Choice Total,Freddie Powell Sims (I) (Dem)_Election Day Votes,Freddie Powell Sims (I) (Dem)_Advanced Voting Votes,Freddie Powell Sims (I) (Dem)_Absentee by Mail Votes,Freddie Powell Sims (I) (Dem)_Provisional Votes,Freddie Powell Sims (I) (Dem)_Choice Total,Total,calc_participation
Baker,2258.0,259.0,415.0,106.0,2.0,782.0,152.0,276.0,255.0,0.0,683.0,1465.0,64.9
Calhoun,3184.0,251.0,434.0,123.0,0.0,808.0,356.0,484.0,449.0,0.0,1289.0,2097.0,65.9
Clay,2053.0,119.0,358.0,109.0,0.0,586.0,165.0,341.0,287.0,0.0,793.0,1379.0,67.2
Dougherty,61172.0,4271.0,3848.0,2213.0,20.0,10352.0,7070.0,8780.0,8012.0,83.0,23945.0,34297.0,56.1
Mitchell,6600.0,310.0,1204.0,252.0,0.0,1766.0,454.0,1085.0,925.0,1.0,2465.0,4231.0,64.1
Quitman,1547.0,148.0,310.0,78.0,0.0,536.0,158.0,186.0,139.0,1.0,484.0,1020.0,65.9
Randolph,4341.0,271.0,684.0,156.0,0.0,1111.0,422.0,914.0,507.0,3.0,1846.0,2957.0,68.1
Stewart,2893.0,202.0,398.0,97.0,4.0,701.0,248.0,470.0,363.0,8.0,1089.0,1790.0,61.9
Sumter,12983.0,755.0,2054.0,561.0,8.0,3378.0,857.0,2382.0,1491.0,5.0,4735.0,8113.0,62.5
Terrell,6594.0,642.0,961.0,250.0,0.0,1853.0,553.0,1029.0,848.0,0.0,2430.0,4283.0,65.0
Webster,1705.0,127.0,446.0,100.0,0.0,673.0,138.0,261.0,238.0,0.0,637.0,1310.0,76.8
