,Precinct,County,Registered Voters,David Callahan (Rep)_Election Day Votes,David Callahan (Rep)_Advanced Voting Votes,David Callahan (Rep)_Absentee by Mail Votes,David Callahan (Rep)_Provisional Votes,David Callahan (Rep)_Choice Total,Debra Bazemore (I) (Dem)_Election Day Votes,Debra Bazemore (I) (Dem)_Advanced Voting Votes,Debra Bazemore (I) (Dem)_Absentee by Mail Votes,Debra Bazemore (I) (Dem)_Provisional Votes,Debra Bazemore (I) (Dem)_Choice Total,Total,calc_participation
17,Panhandle 2,Clayton,3382.0,93.0,268.0,108.0,1.0,470.0,268.0,1116.0,471.0,2.0,1857.0,2327.0,68.8
16,Panhandle 1,Clayton,2895.0,36.0,102.0,61.0,0.0,199.0,234.0,1040.0,560.0,2.0,1836.0,2035.0,70.3
27,Spring Hill,Fayette,3299.0,127.0,707.0,246.0,0.0,1080.0,94.0,843.0,482.0,1.0,1420.0,2500.0,75.8
25,Oak Ridge,Fayette,2225.0,99.0,246.0,134.0,1.0,480.0,94.0,328.0,287.0,5.0,714.0,1194.0,53.7
24,Willow Pond,Fayette,3100.0,99.0,376.0,116.0,4.0,595.0,63.0,370.0,240.0,0.0,673.0,1268.0,40.9
23,Banks,Fayette,1624.0,126.0,263.0,167.0,0.0,556.0,105.0,311.0,227.0,0.0,643.0,1199.0,73.8
22,Kenwood,Fayette,1014.0,46.0,66.0,40.0,0.0,152.0,93.0,317.0,214.0,2.0,626.0,778.0,76.7
21,Morning Creek,Fayette,3059.0,43.0,164.0,66.0,0.0,273.0,81.0,339.0,217.0,0.0,637.0,910.0,29.7
20,Flint,Fayette,1732.0,131.0,230.0,124.0,0.0,485.0,89.0,491.0,224.0,0.0,804.0,1289.0,74.4
19,Fayetteville East,Fayette,2147.0,77.0,338.0,164.0,3.0,582.0,102.0,510.0,272.0,3.0,887.0,1469.0,68.4
18,Europe,Fayette,3310.0,47.0,178.0,86.0,3.0,314.0,198.0,1219.0,765.0,13.0,2195.0,2509.0,75.8
26,Jeff Davis,Fayette,2876.0,73.0,391.0,190.0,2.0,656.0,125.0,753.0,391.0,6.0,1275.0,1931.0,67.1
15,UC01B,Fulton,428.0,1.0,4.0,0.0,2.0,7.0,37.0,138.0,31.0,4.0,210.0,217.0,50.7
14,SC27,Fulton,2361.0,10.0,25.0,13.0,0.0,48.0,145.0,719.0,464.0,0.0,1328.0,1376.0,58.3
0,CP05B,Fulton,153.0,1.0,2.0,1.0,1.0,5.0,19.0,37.0,9.0,3.0,68.0,73.0,47.7
11,SC11A,Fulton,1656.0,8.0,17.0,8.0,0.0,33.0,141.0,533.0,262.0,16.0,952.0,985.0,59.5
10,SC10,Fulton,1912.0,11.0,18.0,10.0,0.0,39.0,151.0,417.0,179.0,3.0,750.0,789.0,41.3
9,SC09C,Fulton,1852.0,16.0,26.0,8.0,0.0,50.0,172.0,524.0,292.0,0.0,988.0,1038.0,56.0
8,SC09A,Fulton,1865.0,11.0,23.0,10.0,0.0,44.0,170.0,524.0,222.0,2.0,918.0,962.0,51.6
7,SC08D,Fulton,605.0,0.0,3.0,4.0,0.0,7.0,39.0,231.0,76.0,0.0,346.0,353.0,58.3
6,CP08A,Fulton,756.0,9.0,4.0,0.0,0.0,13.0,57.0,81.0,28.0,0.0,166.0,179.0,23.7
5,CP084,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CP083,Fulton,240.0,2.0,0.0,0.0,0.0,2.0,11.0,19.0,3.0,0.0,33.0,35.0,14.6
3,CP081,Fulton,373.0,4.0,2.0,0.0,0.0,6.0,31.0,54.0,15.0,5.0,105.0,111.0,29.8
2,CP07B,Fulton,7.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,57.1
1,CP06A,Fulton,732.0,4.0,7.0,1.0,0.0,12.0,49.0,126.0,38.0,0.0,213.0,225.0,30.7
12,SC23A,Fulton,3854.0,30.0,33.0,16.0,0.0,79.0,314.0,1121.0,634.0,11.0,2080.0,2159.0,56.0
13,SC23C,Fulton,2606.0,20.0,30.0,9.0,0.0,59.0,198.0,871.0,393.0,2.0,1464.0,1523.0,58.4
