County,Registered Voters,Jason C. Jones (Rep)_Election Day Votes,Jason C. Jones (Rep)_Advanced Voting Votes,Jason C. Jones (Rep)_Absentee by Mail Votes,Jason C. Jones (Rep)_Provisional Votes,Jason C. Jones (Rep)_Choice Total,Kimberly Alexander (I) (Dem)_Election Day Votes,Kimberly Alexander (I) (Dem)_Advanced Voting Votes,Kimberly Alexander (I) (Dem)_Absentee by Mail Votes,Kimberly Alexander (I) (Dem)_Provisional Votes,Kimberly Alexander (I) (Dem)_Choice Total,Total,calc_participation
Douglas,35580.0,1109.0,3432.0,1497.0,1.0,6039.0,2297.0,8501.0,5219.0,26.0,16043.0,22082.0,62.1
Paulding,17979.0,487.0,2541.0,657.0,2.0,3687.0,409.0,1829.0,1124.0,2.0,3364.0,7051.0,39.2
