,Precinct,County,Registered Voters,David Post (Rep)_Election Day Votes,David Post (Rep)_Advanced Voting Votes,David Post (Rep)_Absentee by Mail Votes,David Post (Rep)_Provisional Votes,David Post (Rep)_Choice Total,Nicole Love Hendrickson (Dem)_Election Day Votes,Nicole Love Hendrickson (Dem)_Advanced Voting Votes,Nicole Love Hendrickson (Dem)_Absentee by Mail Votes,Nicole Love Hendrickson (Dem)_Provisional Votes,Nicole Love Hendrickson (Dem)_Choice Total,Total,calc_participation
0,HARBINS A,Gwinnett,7182.0,374.0,1527.0,502.0,1.0,2404.0,328.0,1557.0,871.0,5.0,2761.0,5165.0,71.9
100,PINCKNEYVILLE U,Gwinnett,2090.0,196.0,207.0,145.0,0.0,548.0,222.0,402.0,284.0,5.0,913.0,1461.0,69.9
101,PUCKETTS B,Gwinnett,3096.0,283.0,867.0,259.0,1.0,1410.0,120.0,492.0,280.0,0.0,892.0,2302.0,74.4
102,BERKSHIRE L,Gwinnett,3265.0,152.0,247.0,152.0,0.0,551.0,340.0,699.0,440.0,1.0,1480.0,2031.0,62.2
103,ROCKBRIDGE F,Gwinnett,5795.0,82.0,435.0,222.0,1.0,740.0,310.0,2163.0,862.0,5.0,3340.0,4080.0,70.4
104,SUGAR HILL F,Gwinnett,4112.0,391.0,870.0,341.0,5.0,1607.0,208.0,605.0,475.0,2.0,1290.0,2897.0,70.5
105,SUWANEE C,Gwinnett,5675.0,335.0,1053.0,514.0,5.0,1907.0,219.0,994.0,834.0,3.0,2050.0,3957.0,69.7
106,CATES O,Gwinnett,1434.0,161.0,233.0,143.0,2.0,539.0,92.0,256.0,204.0,3.0,555.0,1094.0,76.3
107,BAYCREEK E,Gwinnett,3265.0,197.0,439.0,185.0,1.0,822.0,217.0,749.0,419.0,4.0,1389.0,2211.0,67.7
108,BERKSHIRE M,Gwinnett,1864.0,166.0,347.0,187.0,2.0,702.0,110.0,321.0,262.0,1.0,694.0,1396.0,74.9
109,MARTINS G,Gwinnett,2425.0,127.0,184.0,102.0,1.0,414.0,263.0,516.0,279.0,0.0,1058.0,1472.0,60.7
110,DULUTH H,Gwinnett,2813.0,171.0,457.0,301.0,3.0,932.0,144.0,456.0,488.0,1.0,1089.0,2021.0,71.8
111,BERKSHIRE N,Gwinnett,3128.0,112.0,747.0,378.0,1.0,1238.0,89.0,629.0,481.0,0.0,1199.0,2437.0,77.9
112,PINCKNEYVILLE V,Gwinnett,1706.0,105.0,197.0,104.0,1.0,407.0,116.0,341.0,200.0,1.0,658.0,1065.0,62.4
113,PINCKNEYVILLE W,Gwinnett,4253.0,229.0,495.0,379.0,2.0,1105.0,273.0,787.0,588.0,5.0,1653.0,2758.0,64.8
114,MARTINS H,Gwinnett,5037.0,236.0,503.0,369.0,4.0,1112.0,394.0,1062.0,670.0,10.0,2136.0,3248.0,64.5
99,SUWANEE B,Gwinnett,4656.0,245.0,1113.0,440.0,0.0,1798.0,127.0,965.0,589.0,0.0,1681.0,3479.0,74.7
98,PINCKNEYVILLE T,Gwinnett,3201.0,200.0,328.0,258.0,3.0,789.0,227.0,581.0,412.0,2.0,1222.0,2011.0,62.8
97,GOODWINS F,Gwinnett,3212.0,192.0,450.0,249.0,0.0,891.0,184.0,602.0,480.0,0.0,1266.0,2157.0,67.2
96,GOODWINS E,Gwinnett,5491.0,425.0,865.0,437.0,1.0,1728.0,319.0,1019.0,740.0,1.0,2079.0,3807.0,69.3
80,CATES L,Gwinnett,4185.0,221.0,599.0,331.0,0.0,1151.0,267.0,958.0,553.0,4.0,1782.0,2933.0,70.1
