County,Registered Voters,Brian L. Prince (I) (Dem)_Election Day Votes,Brian L. Prince (I) (Dem)_Advanced Voting Votes,Brian L. Prince (I) (Dem)_Absentee by Mail Votes,Brian L. Prince (I) (Dem)_Provisional Votes,Brian L. Prince (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Jefferson,8897.0,1245.0,2175.0,1043.0,9.0,4472.0,4472.0,50.3,4472.0
Richmond,25205.0,2931.0,6352.0,4893.0,17.0,14193.0,14193.0,56.3,14193.0
